protocol_version,run_index,run_id,mechanism_index,mechanism,arm,run_group,training_seed,updates,erase_updates,preserve_updates,selected_erase_rows_required,preserve_rows,lora_rank,lora_alpha,learning_rate,target_teacher_weight,preservation_weight,checkpoint,inference_scale,authorization_state,output_dir
causal_role_erasure_7m_single_seed_v2,0,train7m_water_impact_matched_control,0,water_impact,matched_control,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_water_impact_matched_control
causal_role_erasure_7m_single_seed_v2,1,train7m_rigid_collision_matched_control,1,rigid_collision,matched_control,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_rigid_collision_matched_control
causal_role_erasure_7m_single_seed_v2,2,train7m_brittle_fracture_matched_control,2,brittle_fracture,matched_control,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_brittle_fracture_matched_control
causal_role_erasure_7m_single_seed_v2,3,train7m_powder_impact_matched_control,3,powder_impact,matched_control,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_powder_impact_matched_control
causal_role_erasure_7m_single_seed_v2,4,train7m_elastic_deformation_matched_control,4,elastic_deformation,matched_control,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_elastic_deformation_matched_control
causal_role_erasure_7m_single_seed_v2,5,train7m_material_release_matched_control,5,material_release,matched_control,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_material_release_matched_control
causal_role_erasure_7m_single_seed_v2,6,train7m_surface_trace_matched_control,6,surface_trace,matched_control,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_surface_trace_matched_control
causal_role_erasure_7m_single_seed_v2,7,train7m_water_impact_v4,0,water_impact,V4,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_water_impact_v4
causal_role_erasure_7m_single_seed_v2,8,train7m_rigid_collision_v4,1,rigid_collision,V4,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_rigid_collision_v4
causal_role_erasure_7m_single_seed_v2,9,train7m_brittle_fracture_v4,2,brittle_fracture,V4,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_brittle_fracture_v4
causal_role_erasure_7m_single_seed_v2,10,train7m_powder_impact_v4,3,powder_impact,V4,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_powder_impact_v4
causal_role_erasure_7m_single_seed_v2,11,train7m_elastic_deformation_v4,4,elastic_deformation,V4,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_elastic_deformation_v4
causal_role_erasure_7m_single_seed_v2,12,train7m_material_release_v4,5,material_release,V4,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_material_release_v4
causal_role_erasure_7m_single_seed_v2,13,train7m_surface_trace_v4,6,surface_trace,V4,main,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_surface_trace_v4
causal_role_erasure_7m_single_seed_v2,14,train7m_water_impact_generic_paraphrase,0,water_impact,generic_paraphrase,identification,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_water_impact_generic_paraphrase
causal_role_erasure_7m_single_seed_v2,15,train7m_water_impact_bystander_token,0,water_impact,bystander_token,identification,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_water_impact_bystander_token
causal_role_erasure_7m_single_seed_v2,16,train7m_brittle_fracture_generic_paraphrase,2,brittle_fracture,generic_paraphrase,identification,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_brittle_fracture_generic_paraphrase
causal_role_erasure_7m_single_seed_v2,17,train7m_brittle_fracture_bystander_token,2,brittle_fracture,bystander_token,identification,26000,200,100,100,178,36,16,16,5e-5,4,4,200,1.25,requires_selected178_and_frozen_caches,outputs/causal_role_erasure_7mechanism_main_v2/training/train7m_brittle_fracture_bystander_token
