shard,shard_index,scene_id,family,receiver,fixed_seed,video_path,frame_count,fps,estimated_clean_end_exclusive,clean_prefix_max_mae_255,peak_frame0_mae_255,peak_changed_fraction,final_changed_fraction,auto_status,contact_sheet,error
0,0,wdgen000,liquid_surface,a transparent measuring jug filled with water,9800,outputs/waterdrop_generalization_expansion16_wan/shard_0/videos/000_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9800.mp4,49,8.0,1,nan,12.504835236378206,0.21762820512820513,0.208168694911859,reject_no_clean_prefix,outputs/waterdrop_generalization_expansion16_contact_sheets/wdgen000_liquid_surface_shard0_000.jpg,
1,0,wdgen001,liquid_surface,a stainless-steel saucepan filled with water,9801,outputs/waterdrop_generalization_expansion16_wan/shard_1/videos/000_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9801.mp4,49,8.0,8,0.9496911725427349,34.24922041933761,0.48606770833333335,0.4764704777644231,candidate,outputs/waterdrop_generalization_expansion16_contact_sheets/wdgen001_liquid_surface_shard1_000.jpg,
0,1,wdgen002,liquid_surface,an open rain barrel filled with water,9802,outputs/waterdrop_generalization_expansion16_wan/shard_0/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9802.mp4,49,8.0,1,nan,22.88102380475427,0.3602889623397436,0.3490778996394231,reject_no_clean_prefix,outputs/waterdrop_generalization_expansion16_contact_sheets/wdgen002_liquid_surface_shard0_001.jpg,
1,1,wdgen003,liquid_surface,a round stone birdbath filled with water,9803,outputs/waterdrop_generalization_expansion16_wan/shard_1/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9803.mp4,49,8.0,1,nan,28.694653111645298,0.38786558493589746,0.3668093950320513,reject_no_clean_prefix,outputs/waterdrop_generalization_expansion16_contact_sheets/wdgen003_liquid_surface_shard1_001.jpg,
0,2,wdgen004,hard_surface,dark slate tile,9804,outputs/waterdrop_generalization_expansion16_wan/shard_0/videos/002_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9804.mp4,49,8.0,1,nan,27.26496060363248,0.35737930689102565,0.3385416666666667,reject_no_clean_prefix,outputs/waterdrop_generalization_expansion16_contact_sheets/wdgen004_hard_surface_shard0_002.jpg,
1,2,wdgen005,hard_surface,sealed hardwood tabletop,9805,outputs/waterdrop_generalization_expansion16_wan/shard_1/videos/002_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9805.mp4,49,8.0,33,2.0190805288461537,7.50397719684829,0.17919921875,0.16466909555288461,candidate,outputs/waterdrop_generalization_expansion16_contact_sheets/wdgen005_hard_surface_shard1_002.jpg,
0,3,wdgen006,hard_surface,clear acrylic sheet,9806,outputs/waterdrop_generalization_expansion16_wan/shard_0/videos/003_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9806.mp4,49,8.0,14,0.8216913728632479,20.904501368856838,0.3537284655448718,0.3485119941907051,candidate,outputs/waterdrop_generalization_expansion16_contact_sheets/wdgen006_hard_surface_shard0_003.jpg,
1,3,wdgen007,hard_surface,flat cast-iron griddle,9807,outputs/waterdrop_generalization_expansion16_wan/shard_1/videos/003_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9807.mp4,49,8.0,1,nan,6.4882904313568375,0.1301983173076923,0.12576747796474358,reject_no_clean_prefix,outputs/waterdrop_generalization_expansion16_contact_sheets/wdgen007_hard_surface_shard1_003.jpg,
0,4,wdgen008,absorbent_surface,white paper towel,9808,outputs/waterdrop_generalization_expansion16_wan/shard_0/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9808.mp4,49,8.0,26,1.0028328659188033,13.230081463675216,0.06328876201923077,0.05847919170673077,candidate,outputs/waterdrop_generalization_expansion16_contact_sheets/wdgen008_absorbent_surface_shard0_004.jpg,
1,4,wdgen009,absorbent_surface,unfinished pine board,9809,outputs/waterdrop_generalization_expansion16_wan/shard_1/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9809.mp4,49,8.0,1,nan,4.980700787927351,0.04682742387820513,0.04154960436698718,reject_no_clean_prefix,outputs/waterdrop_generalization_expansion16_contact_sheets/wdgen009_absorbent_surface_shard1_004.jpg,
