sample_id,seed,reference_end_exclusive,first_frame_reference_mae_255,max_encoded_temporal_mae_255,frames,fps,decision
wdr000,8400,16,0.6259,0.0019,49,8,pass
wdr001,8401,16,0.8393,0.0054,49,8,pass
wdr003,8403,20,0.8103,0.0017,49,8,pass
wdr004,8404,12,0.7123,0.0015,49,8,pass
wdr005,8405,16,0.7613,0.0012,49,8,pass
wdr006,8406,20,1.1520,0.0038,49,8,pass
wdr008,8408,8,0.6874,0.0007,49,8,pass
wdr009,8409,8,1.7726,0.0102,49,8,pass
wdr010,8410,16,0.4896,0.0020,49,8,pass
wdr011,8411,4,0.6412,0.0016,49,8,pass
wdr012,8412,28,0.9152,0.0033,49,8,pass
wdr014,8414,12,0.8935,0.0047,49,8,pass
wdr016,8416,16,1.2675,0.0013,49,8,pass
wdr017,8417,20,0.6490,0.0021,49,8,pass
wdr018,8418,16,1.6588,0.0024,49,8,pass
wdr020,8420,8,0.7250,0.0019,49,8,pass
