module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0038198492469059095,0.0,0.00510285690970098,0.012987277820749371
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.0037864863499999044,0.0,0.00395507658754165,0.012987146786592825
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0051878196414974,0.0,0.002513085732029544,0.012987084008463018
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0012755923055940204,0.0,0.0010492207021969887,0.012987362263565628
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.013323739336596595,0.0,0.002184386941500836,0.012987146089001308
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.005847338024112914,0.0,0.0018215876693526904,0.0129872389533389
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,15,77,0.0071848001579443614,0.0,0.020128430056696137,0.012987110777979805
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.0018520236512025198,0.0,0.0009850348521851832,0.012987256698837183
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.004309928152296278,0.0,0.0009999646856966946,0.012987388976423599
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,45,77,0.00545625509487258,0.0,0.0007884523427734773,0.012987303293456591
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0006060438189241621,0.0,0.00021786618512123823,0.012987322693564332
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0021282950788736343,0.0,0.0009866511997663311,0.01298745936000502
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,180,77,0.005073036741879251,0.0,0.0035043391569827996,0.012987080759558327
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0021637191954586243,0.0,0.004847776048247599,0.012987248465246796
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.006576693662338787,0.0,0.0058174871404965715,0.012987021851591217
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,720,77,0.003752857409417629,0.0,0.005092092900692175,0.012987143676378597
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.005134296657310591,0.0,0.00590805332047037,0.012987095630777433
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.003752672047250801,0.0,0.004264710729217364,0.012987160139097623
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.005379599125848876,0.0,0.002837835145700309,0.012987195849526153
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,180,77,0.00161639134089152,0.0,0.0016845902376290826,0.0129873179328261
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,45,77,0.010920035458273358,0.0,0.002543462872919109,0.012987258773603481
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,45,77,0.005509873810741636,0.0,0.0016028459515008663,0.012987274727522037
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,15,77,0.008230305165052415,0.0,0.013953948142006994,0.012987219958981394
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,45,77,0.0012266679439279769,0.0,0.0008597440179437399,0.012987364608187007
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,45,77,0.003769298444191615,0.0,0.000809615244054132,0.0129872596160674
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,45,77,0.005725310626957152,0.0,0.00063610991049144,0.012987525472135254
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.0005215125117037032,0.0,0.0001536816953577929,0.012987226094045337
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,180,77,0.0011519853274027506,0.0,0.0010818765276215142,0.012987390396119368
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,180,77,0.0021225776274998985,0.0,0.0024221475556906727,0.012987309839431341
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.0031072757144769035,0.0,0.00563008233335697,0.012987094341439947
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.00437841907557514,0.0,0.007284572846256197,0.01298708481437286
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,720,77,0.004093155989216434,0.0,0.005891354852873418,0.012987088875745626
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,2,720,77,0.0052966227961911095,0.0,0.005056815556147032,0.012987172947860556
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,2,720,77,0.003797917908264531,0.0,0.004953942372877565,0.012987188531346566
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,180,77,0.0018002392848332723,0.0,0.001901256232522428,0.012987416872773508
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,180,77,0.0011116764280531142,0.0,0.0015963776156099306,0.012987231351703965
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,45,77,0.008690824740462833,0.0,0.002706546514398522,0.012987179607582987
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,45,77,0.005266828421089384,0.0,0.0015967127835998932,0.012987266153226167
mid_block.attentions.0.transformer_blocks.0.attn2.processor,2,15,77,0.007557818740606308,0.0,0.012935081807275614,0.01298717052066997
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,45,77,0.001250529189904531,0.0,0.0009015816574295362,0.012987310976693124
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,45,77,0.0031073101692729527,0.0,0.0006970169343468215,0.012987262931306984
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,2,45,77,0.0031848626832167307,0.0,0.0004873638175841835,0.012987437054708407
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,180,77,0.000390124155415429,0.0,0.00014466332116474707,0.012987240486674838
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,180,77,0.0007741051498386595,0.0,0.0008654019288304779,0.012987424214551976
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,2,180,77,0.0020333577113019097,0.0,0.006951231397688389,0.012987153696979451
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,2,720,77,0.003134710718360212,0.0,0.004691222028082444,0.0129871140901553
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,2,720,77,0.004350765318506294,0.0,0.006057658830864562,0.01298710217745101
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,2,720,77,0.004415382933285502,0.0,0.005597222575452179,0.012987116661358189
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,3,720,77,0.004418837502598762,0.0,0.004404558141767565,0.012987218283299589
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,3,720,77,0.003923325008816189,0.0,0.0051232242315179775,0.01298714457378114
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,180,77,0.0012614917755126953,0.0,0.0012512454214609332,0.012987365809203398
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,180,77,0.0010979819960064358,0.0,0.001384621307046877,0.01298731923404366
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,3,45,77,0.008904861410458882,0.0,0.0030186716829323106,0.01298726520798079
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,3,45,77,0.005864215377304289,0.0,0.0018026201520115136,0.012987232305227765
mid_block.attentions.0.transformer_blocks.0.attn2.processor,3,15,77,0.00790463129679362,0.0,0.012442996821676692,0.012987306351527507
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,45,77,0.0011218313541677264,0.0,0.0009599874934388532,0.012987384831191485
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,45,77,0.0024387893080711365,0.0,0.0005932202779998382,0.012987371384022384
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,3,45,77,0.002302035474114948,0.0,0.00043829356527162923,0.012987541624520937
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,3,180,77,0.00033293422725465564,0.0,0.0001520495033926434,0.01298734298978447
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,3,180,77,0.0007659808711873161,0.0,0.0008979019046657616,0.012987464223632221
