module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0,0.005146349790609545,0.01298724404263376
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0,0.003997879475096448,0.012987143705998148
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0,0.0025425044974933067,0.012987097789026786
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0,0.0010617946533279287,0.012987388298453018
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0,0.002257118031589521,0.012987133818013327
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0,0.0018558689424147208,0.012987373006808293
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,15,77,0.0,0.0,0.02007397891332706,0.012987165002079753
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0,0.0009546366892755031,0.012987226464531638
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0,0.001024349354621437,0.012987363646814833
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0,0.0007838555497841703,0.01298737814738637
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0,0.00020843671996974284,0.012987372703732005
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0,0.0009559088660818007,0.012987478769681326
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0,0.0035433076813610066,0.0129870795582194
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0,0.004879851481204646,0.012987204096824318
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0,0.005896963152465307,0.012987019671516931
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0,0.00513276080497437,0.012987117317181301
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0,0.005977792720983012,0.012987071594752876
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0,0.004316645749171989,0.01298716462288498
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0,0.002933885290597876,0.012987121635722736
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0,0.0017136329484896528,0.012987309527969119
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0,0.002590578387801846,0.012987275431295494
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0,0.001653965271802412,0.012987252788841294
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,15,77,0.0,0.0,0.014877360456933579,0.012987255042507535
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0,0.0009414761068506373,0.012987267603777875
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0,0.000853123234377967,0.012987296897353548
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0,0.0006585601872454087,0.012987403558704244
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0,0.00015240833163261415,0.01298725216752953
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0,0.0010662316075629658,0.01298742031670494
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0,0.0024244999590640266,0.01298725544288217
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0,0.0057838701508525344,0.012987138292662166
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0,0.007588380220501373,0.01298709304457662
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0,0.006099187156133767,0.01298711036835914
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.0,0.005030681273848233,0.012987131577033502
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.0,0.005072019502986223,0.01298716440248541
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.0,0.0019573015274686944,0.01298740065932102
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.0,0.0015539258216611214,0.012987286341719298
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0,0.0026928600555078852,0.012987196967973338
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0,0.0017067265096637938,0.012987272649960429
mid_block.attentions.0.transformer_blocks.0.attn2.processor,2,15,77,0.0,0.0,0.013160611763596534,0.012987059905028447
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0,0.001067421403196123,0.012987321869807498
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0,0.0006900423320217265,0.012987365649763124
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0,0.00047864094480044313,0.012987458593444563
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.0,0.00015524459433638387,0.012987288452179573
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.0,0.00098729797742433,0.012987444683113827
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.0,0.007158339914555351,0.012987200916243493
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.0,0.00473294909293246,0.012987074119349322
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.0,0.006135556540814125,0.012987091161611706
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.0,0.005656833390239626,0.01298702888330512
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,3,720,77,0.0,0.0,0.004410709877653668,0.012987200629132736
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,3,720,77,0.0,0.0,0.005242480654786858,0.012987138373296155
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,180,77,0.0,0.0,0.0013167742572517858,0.012987340915018174
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,180,77,0.0,0.0,0.00132193045794136,0.012987277346298981
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,3,45,77,0.0,0.0,0.0030180034931335184,0.01298718670057872
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,3,45,77,0.0,0.0,0.0019721754205723604,0.012987221146558786
mid_block.attentions.0.transformer_blocks.0.attn2.processor,3,15,77,0.0,0.0,0.012896813182160259,0.012987230853600935
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,45,77,0.0,0.0,0.0009784868483742079,0.012987339962999542
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,45,77,0.0,0.0,0.0006503858986414141,0.012987282246480256
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,3,45,77,0.0,0.0,0.0004891813525723087,0.012987408016366189
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,3,180,77,0.0,0.0,0.00016297445735997623,0.01298734293452331
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,3,180,77,0.0,0.0,0.0008949769184821182,0.012987456633071019
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,3,180,77,0.0,0.0,0.006022334290771848,0.012987198580760632
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,3,720,77,0.0,0.0,0.0046517474613048965,0.012987022473440541
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,3,720,77,0.0,0.0,0.00573971407669079,0.01298712388718498
