module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.00374111983511183,0.006456367365188069,0.002157868461476432,0.012987065763302781
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.004009666049646006,0.0024759315278519082,0.0016669087293040422,0.012987152236482884
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0050082340670956505,0.00202298228111532,0.0012045932023061646,0.01298713423343964
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.001263863510555691,0.0016485765631552097,0.00042165322901888027,0.012987243752351399
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.012508814169300927,0.00413499690592289,0.0012337146451075873,0.012987204419844078
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.004983198245366414,0.00583737812936306,0.0010588020489861567,0.012987296783605867
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,15,77,0.010517156471808752,0.019801980099744265,0.003029706484327714,0.012987051504901993
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.001936970982286665,0.0012070612885333874,0.0004512755738364326,0.01298726881264264
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.003671366290913688,0.0034707347910713266,0.0005005537252873182,0.012987353666477217
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,45,77,0.00470098411043485,0.001472772299139588,0.0004339084215462208,0.012987364793322647
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0006533119496372011,0.00026790483544270196,0.00011133110926796992,0.012987323458297085
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0021958734343449273,0.0010771292861964966,0.0005362483005349835,0.012987391519082058
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,180,77,0.0052465458131498765,0.0029716785417662726,0.0016521921790101461,0.012987051897643277
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0021685546760757766,0.004535393970156157,0.002934700898412201,0.01298715976194558
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.006875335396163994,0.00548342994103829,0.002920809422050499,0.012986999043031
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,720,77,0.003918685991730955,0.003667041666253849,0.0025038356044226225,0.012987058266438275
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.005083820033404562,0.007232910373282653,0.002637901916944732,0.012987132495508393
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.0041486356945501434,0.0024578573575450313,0.0018876348880843984,0.012987149613351704
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.004712784596615368,0.0025987824107761735,0.0012608178901589578,0.012987136571717814
