module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.004389298480969888,0.0035092380880895587,0.0026871356479306187,0.012987141381212729
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.00427111941907141,0.0028985709541787703,0.00268488512477941,0.012987172638924864
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.007258804277689369,0.0018199042768941986,0.0013779630765525831,0.012987142075041327
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0017973388841858616,0.0012562628059337537,0.0008558763491196765,0.012987205918991204
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.011168929283265714,0.0023132261778745387,0.001607183569835292,0.012987137460949445
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.004981204679718724,0.0030382281790177026,0.0012893657955444521,0.012987095828868266
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,15,77,0.00895543032222324,0.004648737063010533,0.020560797176634272,0.01298694209360973
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.0038352738431206455,0.001459839983532826,0.0008966569685273701,0.01298734601011868
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.005995320766060441,0.002358844836966859,0.0009299728170865112,0.012987279412679341
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,45,77,0.006321542555535281,0.001383075885888603,0.0006011419412162569,0.012987297037334153
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0007898393052595633,0.00027689086894194283,0.00016471150279459025,0.012987447311996898
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0034649730308188333,0.000906668941800793,0.0007093870582886868,0.012987376953143235
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,180,77,0.01656773149139351,0.003862457566170229,0.003393816808756027,0.012987141283645602
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0039446350725160706,0.0036200517007253237,0.0024889977692833377,0.012987034804796502
