module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.005144645048098431,0.005592720867910733,0.012987275329320376
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0024175510472721523,0.004627913121496224,0.012987231543720371
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0020149640394029793,0.002998818289488554,0.012987180425104125
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0013118821975809556,0.0012280297341446082,0.0129873650144748
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0033203595324798867,0.004899627590138051,0.01298719776893763
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.002521170775095622,0.0029555869868232144,0.012987217259140415
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,15,77,0.0,0.005850556178225412,0.023978528703252476,0.012987380334825226
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.001172451702532945,0.001751092141494155,0.01298741230394417
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0023296127827079206,0.0020494587564220033,0.012987259004539226
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0012654145337917186,0.0013047203431940742,0.012987345003591472
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0002922072027016569,0.0006227330133939783,0.012987294566493703
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0011875745143603395,0.001393355294648144,0.012987504466120988
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0030613349350514236,0.005490349159679479,0.012987072756366125
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0050287831271136245,0.004053630330082443,0.012987363751961556
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.004753229435257337,0.005718822388185395,0.012987126173104817
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0033650800792707335,0.005633269141221212,0.01298720328736658
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0053041183369027245,0.006620975331299835,0.012987164939238998
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0026049293936402707,0.004857146145724174,0.012987160887596067
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.002626647902307687,0.004103769700353344,0.012987287158057803
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0018349928905566533,0.0021228879974741076,0.012987438598365495
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.003639359598358472,0.004928378189603488,0.012987235453178701
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0023191736528167016,0.002356389527105623,0.0129872797352153
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,15,77,0.0,0.006055858491195573,0.019941036803647876,0.012987261920909345
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0010103634662098355,0.0015819644648581742,0.0129872911138538
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0008968447259178868,0.0013724932509164016,0.01298738426933385
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0014171877668963538,0.0015755270887166262,0.012987450038715875
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.00045651508288251026,0.0007899729126236505,0.01298741058848293
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.001632215359972583,0.0018664512405585912,0.012987345396010219
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0030525761953106635,0.005442549948994484,0.012987176735615318
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.008584154583513737,0.004894953898102459,0.01298729244603481
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.003775149843207112,0.007707917028779371,0.012987284062841496
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0048236416666596026,0.007726907053600169,0.012987136980478382
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.007461781246518647,0.004226792150746203,0.012987389306861687
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.00461955015099159,0.006933425332212613,0.01298719099288723
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.0017067312945922217,0.0029944822901032037,0.012987290642951302
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.000908761074145635,0.0015254548041977816,0.012987339266644412
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0028887307395537693,0.0035369957321219974,0.012987360369634491
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0021030593497885597,0.001968160413412584,0.012987409615284436
mid_block.attentions.0.transformer_blocks.0.attn2.processor,2,15,77,0.0,0.004037724451886283,0.014431520998477936,0.012987337129198627
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0009188408294209727,0.0015368827442742057,0.012987369983786284
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0008012474024737322,0.0010389142328252395,0.0129873236665478
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0008799070644157904,0.0008860946074128151,0.012987384327175297
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.00018223026974333658,0.00024503532486657304,0.012987296161326494
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.0013005030610495143,0.0010699033618180287,0.012987444418634343
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.002811281054660126,0.00845874369558361,0.01298716402178547
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.006666578287603678,0.0051555577952725196,0.012987206426555289
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.003879201826122072,0.006754736175191485,0.012987258521595386
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.004554462058262693,0.006867389109554804,0.012987127929689393
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,3,720,77,0.0,0.006814924822775302,0.0037497726424286764,0.012987446392608154
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,3,720,77,0.0,0.0047039849718135815,0.007172647758335289,0.012987187132078073
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,180,77,0.0,0.0012457717210054397,0.002179293871546785,0.012987287917414957
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,180,77,0.0,0.0007785132265201322,0.001220339358680778,0.01298725865555532
