module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0,0.005948598771873447,0.0129870490480381
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0,0.004794204601655818,0.01298717949673813
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0,0.0030799417870326176,0.012987086072908164
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0,0.001242055520415306,0.012987374063006039
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0,0.0051796759871972934,0.012987125343058532
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0,0.003172813646702303,0.012987168123367717
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,15,77,0.0,0.0,0.024653897744913895,0.01298703076067941
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0,0.0017848117142501806,0.012987332880109935
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0,0.002092349578936895,0.012987313114891492
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,45,77,0.0,0.0,0.0013657474403993952,0.012987314940875055
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0,0.000681797048697869,0.01298738224101273
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0,0.00137356192442692,0.012987232618302666
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,180,77,0.0,0.0,0.005607142424624827,0.012987028967594516
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0,0.004229663011048817,0.012987060117687153
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0,0.005967455706817822,0.012986996444627578
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,720,77,0.0,0.0,0.005881813246394611,0.01298704993167911
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0,0.006871557134824495,0.012987024920467088
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0,0.00493780670946257,0.012987158594365417
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0,0.004215487879183557,0.012987077257785445
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0,0.0021110757352370353,0.012987219559574367
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0,0.0050202278275456695,0.012987176597032368
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0,0.0024978463920868107,0.012987168928632489
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,15,77,0.0,0.0,0.020808442834143837,0.012987111550130886
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0,0.001623938490326206,0.012987224202479462
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0,0.0013892317170070276,0.01298744314160698
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,45,77,0.0,0.0,0.0016776276462607913,0.012987398089354516
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0,0.0009409192659788661,0.012987442548355843
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0,0.0019030420021671388,0.012987196839173978
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,180,77,0.0,0.0,0.005660402241369916,0.012987023824006103
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0,0.005398753887921986,0.012987045948467557
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0,0.007925800491486572,0.012987053514892318
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,720,77,0.0,0.0,0.00791842236959686,0.012987061831428203
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.0,0.004850276253548347,0.01298715162495471
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,2,720,77,0.0,0.0,0.007231841597499119,0.012987126636427718
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.0,0.0032233140746959384,0.012987273254177787
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,180,77,0.0,0.0,0.0015857762765760224,0.012987226384650233
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0,0.003776642672924532,0.012987221108714567
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,45,77,0.0,0.0,0.0019142163969162438,0.012987235913760047
