module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.0019466824250088798,0.005527753587812185,0.0032801741744495102,0.012987046280249544
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.0037883277320199544,0.0025937408677957677,0.0024753959668386313,0.012987152061399615
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.004060089973111947,0.0020573206480454516,0.001766164338009225,0.012987118137175215
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.001455881434182326,0.0013382530847081432,0.0007009353654252159,0.012987209700617784
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.00837723328007592,0.0034686948276228375,0.0030853799047569435,0.01298724818818841
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.008546197306778696,0.0025356293552451664,0.001253061837827166,0.012987264410241858
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,15,77,0.01004317673544089,0.007327069259352155,0.015193608443563184,0.012987022175417319
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,45,77,0.0026614625917540657,0.0012328114884871024,0.0009643322850267092,0.012987255591463734
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,45,77,0.0068955607381131915,0.001953408999575509,0.0008940693042758438,0.012987271444105998
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,45,77,0.0037107147028048832,0.0012910802331235673,0.0007889289905627569,0.012987441163171421
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,180,77,0.001522237637804614,0.0003058523491576866,0.00020279077399108146,0.012987323720626328
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,180,77,0.002400123919877741,0.0010705005294746823,0.0007901072569398417,0.01298730889612118
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,180,77,0.007953870366844865,0.003150348504660306,0.0029447627584967347,0.012987014314248448
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,720,77,0.003715340977327691,0.004972724492351214,0.002091396055960407,0.012987007952226706
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,720,77,0.005543201234605577,0.005097744015769826,0.0027315359285825657,0.012987015099408479
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,720,77,0.004810487892892626,0.0036230908941339564,0.002934899394038237,0.012987005606798985
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.0034858913574781682,0.005663448926061392,0.00360627053771168,0.01298706353635327
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.0035867773265474373,0.002754130140636806,0.002575277924382438,0.012987154242764046
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.005304160676896572,0.0026154564114080534,0.002491873614490032,0.012987033373650706
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,180,77,0.0027646625580059155,0.001798804501692454,0.0011432646690971323,0.012987198266073051
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,45,77,0.01002698775794771,0.0036827198857510533,0.0028393841058843667,0.012987247121669513
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,45,77,0.006177379455831316,0.0021664952486753464,0.0010977947432547807,0.012987206150572021
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,15,77,0.007620655447244645,0.006884223255846236,0.012015771440540751,0.012986960254319302
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,45,77,0.0024279335058397717,0.0010902069591813618,0.0007820015504128404,0.012987332641648352
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,45,77,0.004276282530691888,0.0008421434186123035,0.0005277440220945412,0.012987374324690212
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,45,77,0.003811849645442433,0.0012979401620449842,0.0007745981185386578,0.012987363850872582
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,180,77,0.0017048977522386446,0.0003698283268345727,0.00020828210593511662,0.012987374414570232
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,180,77,0.0027645853699909315,0.0015373024841149649,0.001037767067965534,0.012987242582620996
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,180,77,0.005883904376791583,0.0034259112786363673,0.003125057785978748,0.01298712222940392
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,720,77,0.0047632251804073655,0.008972944378576897,0.0026253090056383775,0.012987056726651618
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,720,77,0.005210372909075684,0.004115845600350035,0.0038249790182130206,0.012987034410120004
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,720,77,0.007625026295168532,0.0050341293415813535,0.004214179425034672,0.012987008910964836
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,2,720,77,0.003716025927828418,0.008670193795804625,0.0021460297018186087,0.01298719416680231
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,2,720,77,0.006395981336633365,0.004788082208898333,0.0037524357554502784,0.012987131779908618
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,180,77,0.0029481335398223664,0.001775789186358452,0.0017096725121761361,0.012987306784048224
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,180,77,0.001420050896704197,0.0010603573876950476,0.0008511548235805498,0.012987308789791827
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,45,77,0.008170531168580054,0.0031710747187888183,0.00217167436145246,0.012987199448489868
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,45,77,0.004419583860370848,0.0016313883496655358,0.0008321984226091041,0.012987298391125075
mid_block.attentions.0.transformer_blocks.0.attn2.processor,2,15,77,0.0056597561885913215,0.005034223538306025,0.008751190848027666,0.012987109283348182
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,45,77,0.0021257597621944214,0.0009382764967503371,0.0006675853207707405,0.01298733551307846
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,45,77,0.0028297523657480877,0.0006801597249728662,0.00039636610282791984,0.012987389830498812
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,2,45,77,0.0025139745076497395,0.0007926137717785658,0.0004195039160549641,0.012987512749166888
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,180,77,0.0008410491628779305,0.00019784104492929247,8.074780098266072e-05,0.012987395209323448
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,180,77,0.0017909107936753166,0.0012978768210720132,0.0006124784466293123,0.012987427408518042
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,2,180,77,0.0032871857575244375,0.003610812011692259,0.0037815197945261993,0.012987099282798313
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,2,720,77,0.00492627355373568,0.007170327231977825,0.0025607994322975475,0.012987052368814552
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,2,720,77,0.006014095886300008,0.004103072443632064,0.0033841073474225897,0.012987065056734012
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,2,720,77,0.007437039299143685,0.004863021459982351,0.003528039046149287,0.012987009443847992
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,3,720,77,0.0035214169013003506,0.007811674308031797,0.001883195925038308,0.012987194868210504
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,3,720,77,0.007829831995897823,0.005032398070174235,0.00393179059959948,0.012987086290351155
