module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.0036808480508625507,0.003790386253967881,0.004730611573904753,0.01298701111227274
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.0026908735744655132,0.001850424101576209,0.0034473040141165257,0.012987010180950165
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.006903555244207382,0.0017207185737788677,0.0023931795731186867,0.012987013906240463
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.0017890630988404155,0.0014854726614430547,0.0010492950677871704,0.012987026944756508
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.00994691252708435,0.002885781927034259,0.002529486082494259,0.012987013906240463
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.01008583977818489,0.0036860040854662657,0.002575377468019724,0.012987013906240463
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,28,77,0.006203169468790293,0.012608126737177372,0.017718322575092316,0.01298699900507927
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.001960355555638671,0.0013213501079007983,0.0011945994338020682,0.012987018562853336
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.00795519258826971,0.003768262453377247,0.00168672448489815,0.012987012974917889
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,112,77,0.006500867661088705,0.001006499631330371,0.00091759447241202,0.012987012974917889
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.00016699843399692327,0.0001158205050160177,0.00012018351844744757,0.012987012974917889
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.004299451131373644,0.0009501295280642807,0.0010132088791579008,0.012987022288143635
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,405,77,0.004426655825227499,0.0020403750240802765,0.0027688867412507534,0.012987006455659866
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.0022220758255571127,0.0025809628423303366,0.0029532278422266245,0.01298700924962759
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.00293325399979949,0.0030961602460592985,0.00376641983166337,0.012987013906240463
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,1620,77,0.0032803784124553204,0.002591422526165843,0.0038729242514818907,0.01298703532665968
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.004272162914276123,0.005313310772180557,0.005294959992170334,0.012987017631530762
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.0024440675042569637,0.0018533093389123678,0.0035148051101714373,0.012987013906240463
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.006042667664587498,0.0016944552771747112,0.0021258883643895388,0.012987007386982441
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.0014192914823070168,0.0016364973271265626,0.0009356675436720252,0.012987017631530762
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.01159602776169777,0.0042822882533073425,0.0021200047340244055,0.012987002730369568
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.00810442678630352,0.003351836930960417,0.002316561760380864,0.012987010180950165
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,28,77,0.005572861526161432,0.009576401673257351,0.016335347667336464,0.012987026944756508
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.0018894276581704617,0.0012808769242838025,0.0011047031730413437,0.01298698503524065
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.006013316102325916,0.0040648505091667175,0.0012710392475128174,0.012987026944756508
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,112,77,0.004881489090621471,0.0008785806712694466,0.0007757470011711121,0.012987024150788784
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.00016805458290036768,0.00011910550529137254,0.00012415536912158132,0.012987004593014717
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.0038773291744291782,0.0009397496469318867,0.0008864187402650714,0.01298700924962759
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,405,77,0.003418566891923547,0.0018019207054749131,0.0019223622512072325,0.012987012974917889
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.0021254168823361397,0.0022803780157119036,0.0027511233929544687,0.012987015768885612
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.0024067191407084465,0.0025651962496340275,0.004028636962175369,0.012987010180950165
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,1620,77,0.0035244040191173553,0.0026616035029292107,0.004148472100496292,0.01298700924962759
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,2,1620,77,0.00437980005517602,0.005967787932604551,0.005026604514569044,0.012987013906240463
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,2,1620,77,0.002447510603815317,0.0019159653456881642,0.003613823326304555,0.012987018562853336
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,405,77,0.004891910590231419,0.001410182798281312,0.0014391260920092463,0.012987018562853336
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,405,77,0.0018607391975820065,0.00265898578800261,0.0013512964360415936,0.012987018562853336
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,112,77,0.009177876636385918,0.00404445780441165,0.002381439320743084,0.012987010180950165
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,112,77,0.009120632894337177,0.003704917384311557,0.002445699879899621,0.012987018562853336
mid_block.attentions.0.transformer_blocks.0.attn2.processor,2,28,77,0.005627951584756374,0.007433070335537195,0.015044462867081165,0.012987007386982441
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,112,77,0.001734480494633317,0.0012953695841133595,0.0010679143015295267,0.012987018562853336
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,112,77,0.006001492962241173,0.003882442368194461,0.0009815505472943187,0.01298702135682106
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,2,112,77,0.006583091337233782,0.0009842078434303403,0.000717907736543566,0.012987005524337292
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,405,77,0.00021216976165305823,0.00014570445637218654,0.00017159046547021717,0.012987010180950165
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,405,77,0.004144998267292976,0.001037878799252212,0.0009419928537681699,0.012987013906240463
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,2,405,77,0.003779956605285406,0.002155831316486001,0.002186285797506571,0.012987002730369568
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,2,1620,77,0.0022031948901712894,0.001998176798224449,0.0029168291948735714,0.012987019494175911
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,2,1620,77,0.002188554033637047,0.0024488097988069057,0.004513690713793039,0.012987017631530762
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,2,1620,77,0.004662082064896822,0.0033180993050336838,0.0051875305362045765,0.012987020425498486
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,3,1620,77,0.004646408837288618,0.006437957286834717,0.004551519639790058,0.012987013906240463
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,3,1620,77,0.002667524153366685,0.002225101925432682,0.0039253379218280315,0.012987018562853336
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,405,77,0.0031675626523792744,0.001072695362381637,0.0009401587303727865,0.01298701111227274
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,405,77,0.0015023791929706931,0.0023774600122123957,0.001164393499493599,0.012987019494175911
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,3,112,77,0.009498164989054203,0.004045219626277685,0.0025366484187543392,0.012987012974917889
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,3,112,77,0.0071761286817491055,0.003256350290030241,0.0021282611414790154,0.01298702321946621
mid_block.attentions.0.transformer_blocks.0.attn2.processor,3,28,77,0.0058792284689843655,0.006013424135744572,0.014281258918344975,0.01298703532665968
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,112,77,0.0016524632228538394,0.001231566770002246,0.0009898722637444735,0.012987015768885612
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,112,77,0.004878639243543148,0.0024661461357027292,0.000752815802115947,0.012987007386982441
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,3,112,77,0.0048882137052714825,0.0008317185565829277,0.0005601168959401548,0.01298702135682106
