module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.0009532241965644062,0.0009814650984480977,0.00489599397405982,0.012987248599529266
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.0006934543489478528,0.00047705223551020026,0.003562058787792921,0.012987250462174416
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.0017999582923948765,0.00044323320616967976,0.0024700022768229246,0.01298719085752964
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.00044028557022102177,0.0003766368026845157,0.0010457818862050772,0.012987310066819191
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.002782485680654645,0.0007995282066985965,0.002682281658053398,0.012987222522497177
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.0030240018386393785,0.0010297998087480664,0.0028331608045846224,0.012987256050109863
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,28,77,0.001636331551708281,0.004882442764937878,0.019024301320314407,0.012987138703465462
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.00048096690443344414,0.0003304973361082375,0.001187420915812254,0.012987258844077587
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.002500372240319848,0.0014459436060860753,0.001995362574234605,0.01298725325614214
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,112,77,0.0017848460702225566,0.00026690505910664797,0.00100772047881037,0.012987304478883743
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,4.070672002853826e-05,2.910927651100792e-05,0.00011430135782575235,0.012987112626433372
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.001027411432005465,0.00023207860067486763,0.001024009776301682,0.012987383641302586
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,405,77,0.0011053623165935278,0.0005101524875499308,0.0027645204681903124,0.012987116351723671
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.0005755278980359435,0.0006760546239092946,0.003057518508285284,0.0129871666431427
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.0007590216118842363,0.0007983452524058521,0.003861755598336458,0.01298702135682106
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,1620,77,0.0008526307647116482,0.0006737562944181263,0.0040309978649020195,0.012987213209271431
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.001099113142117858,0.001366536831483245,0.0054578701965510845,0.012987108901143074
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.0006260455120354891,0.00047835009172558784,0.0036450850311666727,0.01298720482736826
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.0013563871616497636,0.0004032564756926149,0.0021634683944284916,0.012987229973077774
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.0003477718273643404,0.0003764786815736443,0.0008989683701656759,0.012987308204174042
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.0038016310427337885,0.001216374454088509,0.0023627907503396273,0.012987179681658745
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.0022486767265945673,0.0009028768399730325,0.0024875453673303127,0.012987244874238968
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,28,77,0.0014718928141519427,0.0032486130949109793,0.01726013980805874,0.012987198308110237
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.00046216868213377893,0.00031834919354878366,0.0010952119482681155,0.012987304478883743
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.001986854709684849,0.0014773784205317497,0.0015141270123422146,0.012987304478883743
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,112,77,0.0011231784010306,0.00021928787464275956,0.0008460860699415207,0.012987335212528706
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,4.184791396255605e-05,3.073109473916702e-05,0.00012085234629921615,0.012987146154046059
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.0008807918638922274,0.00022521866776514798,0.0008568851044401526,0.0129875298589468
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,405,77,0.0008041990804485977,0.0004347882349975407,0.0018390719778835773,0.012987135909497738
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.0005452806944958866,0.0006024666363373399,0.0027710453141480684,0.012987134978175163
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.000606978836003691,0.0006439613061957061,0.004035240039229393,0.012986973859369755
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,1620,77,0.0008926554000936449,0.000681009201798588,0.004241567570716143,0.012987182475626469
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,2,1620,77,0.0010631721233949065,0.0014620466390624642,0.004944400396198034,0.01298706978559494
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,2,1620,77,0.0006108283996582031,0.0004875749000348151,0.0037052275147289038,0.012987175956368446
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,405,77,0.0008883163100108504,0.000306676491163671,0.001383417402394116,0.012987244874238968
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,405,77,0.00042212329572066665,0.0005816853372380137,0.0011776259634643793,0.012987226247787476
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,112,77,0.0028532312717288733,0.0011702862102538347,0.0026073281187564135,0.012987148948013783
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,112,77,0.0024613861460238695,0.0009036281844601035,0.0025771111249923706,0.012987269088625908
mid_block.attentions.0.transformer_blocks.0.attn2.processor,2,28,77,0.0013455270091071725,0.002235976979136467,0.015162942931056023,0.012987176887691021
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,112,77,0.0004010251141153276,0.0003063252370338887,0.0010313281090930104,0.012987298890948296
