module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.0038858517073094845,0.003989751450717449,0.0030022726859897375,0.012987136840820312
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.0028897952288389206,0.001989128766581416,0.0020381801296025515,0.012987147085368633
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.007051332388073206,0.0017747892998158932,0.0016341237351298332,0.012987236492335796
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.0017781448550522327,0.0014863378601148725,0.000577875878661871,0.01298736222088337
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.010081213898956776,0.0029434708412736654,0.0020185138564556837,0.012987250462174416
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.010092956013977528,0.0036413862835615873,0.0020555772352963686,0.012987280264496803
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,28,77,0.0075973281636834145,0.01661183498799801,0.009335513226687908,0.012987111695110798
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.0019535962492227554,0.0013144629774615169,0.000782699033152312,0.012987306341528893
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.007993294857442379,0.003809157060459256,0.0013851291732862592,0.012987282127141953
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,112,77,0.0064249588176608086,0.0009958164300769567,0.0006415849202312529,0.012987256050109863
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.00016386921925004572,0.00011461134272394702,7.551228191005066e-05,0.012987112626433372
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.00422446895390749,0.0009472177480347455,0.0006191282882355154,0.012987448833882809
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,405,77,0.004482634831219912,0.0020712430123239756,0.0018121713073924184,0.012987232767045498
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.0023206891492009163,0.002712738234549761,0.0019246534211561084,0.012987080030143261
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.003041585674509406,0.003199519356712699,0.002472021384164691,0.012987020425498486
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,1620,77,0.003558723023161292,0.002811381360515952,0.002515466185286641,0.012987097725272179
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.004487224388867617,0.0055471137166023254,0.0034438848961144686,0.012987066991627216
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.002627202309668064,0.001994879450649023,0.002164577366784215,0.012987146154046059
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.006107675842940807,0.0017324247164651752,0.0013502431102097034,0.012987286783754826
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.00140664866194129,0.0015910540241748095,0.0005148966447450221,0.012987317517399788
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.011851162649691105,0.004305274225771427,0.0015959521988406777,0.012987164780497551
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.00797364767640829,0.0032355128787457943,0.001759535283781588,0.01298727747052908
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,28,77,0.006984420120716095,0.012912928126752377,0.008337859995663166,0.012987001799046993
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.0018845722079277039,0.0012812450295314193,0.0007598373340442777,0.01298736222088337
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.005926335696130991,0.004070311784744263,0.0010400727624073625,0.01298734825104475
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,112,77,0.004591281060129404,0.000878322753123939,0.0005374843603931367,0.01298730168491602
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.00016618678637314588,0.00011908425221918151,7.874480070313439e-05,0.01298714242875576
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.0037330365739762783,0.0009355633519589901,0.000537643616553396,0.012987479567527771
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,405,77,0.0033606714569032192,0.0018054441316053271,0.0012640475761145353,0.012987186200916767
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.0022061048075556755,0.0023862977977842093,0.0017474318156018853,0.012987107038497925
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.002515919040888548,0.00266727595590055,0.0026205454487353563,0.012987036257982254
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,1620,77,0.0037751568015664816,0.002871856326237321,0.002665631240233779,0.012987088412046432
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,2,1620,77,0.004451392684131861,0.0060274722054600716,0.003130213590338826,0.012987044639885426
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,2,1620,77,0.0026132240891456604,0.0020633304957300425,0.0022619522642344236,0.01298714429140091
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,405,77,0.004157774616032839,0.0012686101254075766,0.0008518628892488778,0.012987286783754826
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,405,77,0.0017444812692701817,0.0024531555827707052,0.0007440880290232599,0.012987268157303333
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,112,77,0.009620989672839642,0.004150107502937317,0.001772694056853652,0.012987161055207253
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,112,77,0.009334716014564037,0.0034022589679807425,0.0018424330046400428,0.01298726350069046
mid_block.attentions.0.transformer_blocks.0.attn2.processor,2,28,77,0.0072418879717588425,0.010415003634989262,0.007902326993644238,0.012987058609724045
