module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.003928209189325571,0.004034790676087141,0.003149548778310418,0.012987171299755573
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.0028774086385965347,0.0019817696884274483,0.0025362102314829826,0.012987172231078148
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.007276386022567749,0.0017874396871775389,0.0014883234398439527,0.012987193651497364
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.0018029387574642897,0.0015203289221972227,0.0006656982586719096,0.012987331487238407
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.01044353749603033,0.003095495281741023,0.0015941864112392068,0.012987179681658745
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.011214731261134148,0.003882735501974821,0.001606128178536892,0.0129872290417552
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,28,77,0.006996598560363054,0.015806512907147408,0.0127269821241498,0.012987087480723858
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.001955959713086486,0.0013027222594246268,0.0007930243154987693,0.012987306341528893
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.008771643973886967,0.00437399884685874,0.0011066219303756952,0.012987279333174229
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,112,77,0.007103876676410437,0.001024888246320188,0.0005678300512954593,0.012987320311367512
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.00016837868315633386,0.00011389213614165783,8.835902553983033e-05,0.012987097725272179
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.004345404449850321,0.0009694036561995745,0.0006654280587099493,0.01298737246543169
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,405,77,0.004594055935740471,0.0021117054857313633,0.001859583193436265,0.012987141497433186
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.0023191748186945915,0.0027027344331145287,0.0023166791070252657,0.012987042777240276
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.003072545165196061,0.003244164166972041,0.0028612702153623104,0.012987004593014717
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,1620,77,0.0035607703030109406,0.0028137345798313618,0.0029096086509525776,0.012987087480723858
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.0045780702494084835,0.0056524877436459064,0.0035624573938548565,0.012987070716917515
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.0026164513546973467,0.0019949981942772865,0.00262117269448936,0.012987140566110611
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.006516163237392902,0.0017862437525764108,0.0013032236602157354,0.012987210415303707
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.0014369211858138442,0.0016801002202555537,0.0006157716270536184,0.012987304478883743
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.012412907555699348,0.004546345677226782,0.001341995783150196,0.012987188063561916
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.008731626905500889,0.0034880226012319326,0.0014481140533462167,0.01298725325614214
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,28,77,0.006249846890568733,0.01227208785712719,0.011733805760741234,0.012987073510885239
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.0018817378440871835,0.0012834660010412335,0.0007346185157075524,0.012987375259399414
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.006649347022175789,0.0047982316464185715,0.0008075688383542001,0.012987309135496616
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,112,77,0.005248065106570721,0.0009150471305474639,0.00048702428466640413,0.012987321242690086
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.00017336990276817232,0.00011905928113264963,9.329258318757638e-05,0.012987147085368633
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.003981168381869793,0.0009699390502646565,0.0006049185758456588,0.012987577356398106
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,405,77,0.003578733652830124,0.0018463128944858909,0.0012689564609900117,0.012987078167498112
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.002192458603531122,0.0023528675083070993,0.002132043708115816,0.012987067922949791
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.002544575836509466,0.0027291844598948956,0.0030348049476742744,0.012987034395337105
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,1620,77,0.0038424390368163586,0.0029109169263392687,0.003121814224869013,0.012987080030143261
