module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.006083797197788954,0.002866466296836734,0.003114167135208845,0.012987078167498112
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.003059405367821455,0.002232266589999199,0.0026693607214838266,0.012987121008336544
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.007242754567414522,0.001765739289112389,0.0015693753957748413,0.012987141497433186
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.0030157759319990873,0.0012168815592303872,0.0012001438299193978,0.012987320311367512
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.011320198886096478,0.003376203356310725,0.0016781104495748878,0.012987171299755573
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.009767531417310238,0.005981652066111565,0.0017822610680013895,0.012987096793949604
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,28,77,0.009554178453981876,0.0033854779321700335,0.02050257846713066,0.012987078167498112
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.00436380784958601,0.0018759263912215829,0.001073966035619378,0.012987328693270683
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.009488904848694801,0.002944044303148985,0.0010269153863191605,0.012987315654754639
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,112,77,0.007677688263356686,0.0017563666915521026,0.0008570831851102412,0.012987244874238968
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.0006866770563647151,0.00022435282880906016,0.00014173236559145153,0.012987319380044937
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.002575983526185155,0.0007868629181757569,0.0006291628233157098,0.01298750564455986
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,405,77,0.010003883391618729,0.0018044480821117759,0.0020306913647800684,0.012987034395337105
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.00347077171318233,0.0025854837149381638,0.002440275391563773,0.012987024150788784
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.0040211607702076435,0.003898616647347808,0.0028903759084641933,0.012987014837563038
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,1620,77,0.003512222785502672,0.0020365859381854534,0.0029083224944770336,0.012986917980015278
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.007136777509003878,0.0036027070600539446,0.0038206279277801514,0.012987026013433933
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.003005219856277108,0.0023508372250944376,0.002665877342224121,0.012987126596271992
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.006607980001717806,0.001982488203793764,0.001553765730932355,0.01298714242875576
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.0029241202864795923,0.0013725494500249624,0.0012460483703762293,0.012987279333174229
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.010850143618881702,0.0029908339492976665,0.001490697031840682,0.012987185269594193
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.008927987888455391,0.004749199375510216,0.001664203591644764,0.012987151741981506
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,28,77,0.0070556290447711945,0.0023899737279862165,0.015353157185018063,0.01298706978559494
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.004328801762312651,0.0017787717515602708,0.0008583617163822055,0.012987358495593071
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.00810698326677084,0.002174733905121684,0.0008915416547097266,0.012987364083528519
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,112,77,0.007907452993094921,0.0020549565088003874,0.0008389035938307643,0.012987236492335796
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.0008368001435883343,0.0003130082041025162,0.00018596151494421065,0.01298731379210949
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.002742577577009797,0.000928724417462945,0.0006551874685101211,0.012987502850592136
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,405,77,0.0058578141033649445,0.0016637990484014153,0.001381093286909163,0.01298727747052908
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.003658701665699482,0.002685554325580597,0.0028948753606528044,0.01298706978559494
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.0033076307736337185,0.003460168605670333,0.0033467207103967667,0.012987007386982441
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,1620,77,0.0038203299045562744,0.0021765483543276787,0.0033819950185716152,0.012987055815756321
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,2,1620,77,0.006305660121142864,0.0034852775279432535,0.003461504355072975,0.012987070716917515
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,2,1620,77,0.003284974256530404,0.0026555629447102547,0.0028220342937856913,0.012987127527594566
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,405,77,0.005335989873856306,0.001575771369971335,0.0012792856432497501,0.012987240217626095
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,405,77,0.001791113056242466,0.0011793080484494567,0.0009118412854149938,0.012987303547561169
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,112,77,0.010481484234333038,0.0031406572088599205,0.0014570696512237191,0.01298716850578785
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,112,77,0.0060454425401985645,0.003711493918672204,0.0012178593315184116,0.01298720296472311
mid_block.attentions.0.transformer_blocks.0.attn2.processor,2,28,77,0.005230228882282972,0.0016934112645685673,0.009725126437842846,0.012987097725272179
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,112,77,0.0037085178773850203,0.0013494502054527402,0.0006966544315218925,0.012987394817173481
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,112,77,0.006229361053556204,0.0016828576335683465,0.0007166537689045072,0.012987335212528706
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,2,112,77,0.004109306260943413,0.001216521835885942,0.0005056117079220712,0.012987385503947735
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,405,77,0.0006160408956930041,0.00025700117112137377,0.0001309867511736229,0.012987285852432251
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,405,77,0.0024169660173356533,0.0008790134452283382,0.0005841656820848584,0.012987411580979824
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,2,405,77,0.004572425968945026,0.0015410649357363582,0.0013917011674493551,0.01298724114894867
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,2,1620,77,0.003938928712159395,0.00299525773152709,0.002940985606983304,0.012987121008336544
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,2,1620,77,0.0032082328107208014,0.0031615335028618574,0.004037683829665184,0.012987028807401657
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,2,1620,77,0.003782207379117608,0.0021957026328891516,0.0035297751892358065,0.012987032532691956
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,3,1620,77,0.004950962029397488,0.0030592025723308325,0.002950236899778247,0.012987129390239716
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,3,1620,77,0.0037229752633720636,0.0030518791172653437,0.00307485181838274,0.01298715453594923
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,405,77,0.004535282962024212,0.0012620518682524562,0.0010632326593622565,0.012987305410206318
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,405,77,0.0014956060331314802,0.0012261898955330253,0.0008804801618680358,0.012987293303012848
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,3,112,77,0.009467256255447865,0.002696744631975889,0.0014349301345646381,0.012987193651497364
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,3,112,77,0.0056765079498291016,0.002921740058809519,0.0011273991549387574,0.01298720296472311
mid_block.attentions.0.transformer_blocks.0.attn2.processor,3,28,77,0.00504066189751029,0.00156708387658,0.009127325378358364,0.012987121939659119
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,112,77,0.0031796058174222708,0.001177443191409111,0.0006811890052631497,0.012987375259399414
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,112,77,0.004797333851456642,0.001437852275557816,0.000681383244227618,0.012987304478883743
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,3,112,77,0.003123302711173892,0.0009336768416687846,0.0004103938408661634,0.012987440451979637
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,3,405,77,0.0005002827383577824,0.00020291266264393926,0.00010422436753287911,0.012987229973077774
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,3,405,77,0.0018721523229032755,0.0007662754505872726,0.0005376959452405572,0.012987415306270123
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,3,405,77,0.0037469312082976103,0.0015162304043769836,0.001323507516644895,0.012987270951271057
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,3,1620,77,0.004025082103908062,0.0031859432347118855,0.0029975981451570988,0.01298710610717535
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,3,1620,77,0.0033210315741598606,0.00295098009519279,0.004080869723111391,0.012987039051949978
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,3,1620,77,0.0033281585201621056,0.001962837064638734,0.003282276215031743,0.012987022288143635
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,4,1620,77,0.003946705721318722,0.002700312063097954,0.0026223144959658384,0.012987173162400723
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,4,1620,77,0.004251915030181408,0.003439707448706031,0.003343869000673294,0.012987159192562103
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,4,405,77,0.003928046673536301,0.0010709490161389112,0.0009106838842853904,0.012987310998141766
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,4,405,77,0.0013099706266075373,0.0011668236693367362,0.0008027470321394503,0.012987274676561356
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,4,112,77,0.008507494814693928,0.002480861032381654,0.0014099149266257882,0.01298720296472311
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,4,112,77,0.00474063353613019,0.002629403956234455,0.001022829907014966,0.012987208552658558
mid_block.attentions.0.transformer_blocks.0.attn2.processor,4,28,77,0.004796457476913929,0.0014886596472933888,0.00862670037895441,0.012987040914595127
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,4,112,77,0.0026027390267699957,0.0009634479065425694,0.0005673288251273334,0.012987389229238033
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,4,112,77,0.003924570512026548,0.0011931159533560276,0.0006268287543207407,0.012987307272851467
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,4,112,77,0.0027089493814855814,0.0008012180333025753,0.00037342970608733594,0.012987405993044376
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,4,405,77,0.0004283253801986575,0.00019858490850310773,9.330095781479031e-05,0.012987213209271431
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,4,405,77,0.001616518828086555,0.0006919422885403037,0.0004820098984055221,0.012987449765205383
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,4,405,77,0.003383071394637227,0.0015017985133454204,0.0013307473855093122,0.01298725139349699
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,4,1620,77,0.003888176754117012,0.0031407990027219057,0.0029626742471009493,0.012987094931304455
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,4,1620,77,0.0033116957638412714,0.002892811316996813,0.003940282389521599,0.012987043708562851
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,4,1620,77,0.003194468328729272,0.0018846112070605159,0.003239142242819071,0.012987040914595127
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,5,1620,77,0.003312497865408659,0.002473452128469944,0.002417825860902667,0.012987220659852028
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,5,1620,77,0.004678093362599611,0.0037282374687492847,0.0035971342585980892,0.012987137772142887
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,5,405,77,0.0032741606701165438,0.000905962660908699,0.0007856404408812523,0.012987326830625534
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,5,405,77,0.0011941129341721535,0.0011282176710665226,0.0007502243388444185,0.012987286783754826
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,5,112,77,0.007754268124699593,0.0022824618499726057,0.0013581678504124284,0.012987205758690834
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,5,112,77,0.0045191440731287,0.0025022949557751417,0.0010060714557766914,0.012987252324819565
mid_block.attentions.0.transformer_blocks.0.attn2.processor,5,28,77,0.004668986424803734,0.0014282044721767306,0.008255787193775177,0.012987108901143074
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,5,112,77,0.0024744346737861633,0.0009192241122946143,0.000540994864422828,0.012987412512302399
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,5,112,77,0.0035920680966228247,0.0011481529800221324,0.0006178867188282311,0.01298731192946434
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,5,112,77,0.002359480131417513,0.0007133833132684231,0.0003414419770706445,0.012987429276108742
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,5,405,77,0.0003885095939040184,0.00019912961579393595,8.82685199030675e-05,0.012987213209271431
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,5,405,77,0.0014357254840433598,0.0006670274888165295,0.00045457191299647093,0.012987436726689339
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,5,405,77,0.0032005144748836756,0.001505870372056961,0.0014346076641231775,0.012987272813916206
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,5,1620,77,0.0037834676913917065,0.0030777857173234224,0.002915872260928154,0.012987102381885052
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,5,1620,77,0.0033044551964849234,0.0028704004362225533,0.0038011311553418636,0.012987058609724045
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,5,1620,77,0.0031149336136877537,0.0018351542530581355,0.0032041219528764486,0.012987058609724045
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,6,1620,77,0.0030165482312440872,0.002365797059610486,0.002290713135153055,0.012987240217626095
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,6,1620,77,0.004942636471241713,0.003915946930646896,0.0038074753247201443,0.012987129390239716
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,6,405,77,0.002766950288787484,0.0007769081275910139,0.0006824388401582837,0.012987333349883556
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,6,405,77,0.001096327556297183,0.001108634634874761,0.0007138169603422284,0.012987281195819378
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,6,112,77,0.007303259801119566,0.0021374092902988195,0.0013320111902430654,0.012987206690013409
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,6,112,77,0.0043749623000621796,0.0024302240926772356,0.0009965423960238695,0.01298725325614214
mid_block.attentions.0.transformer_blocks.0.attn2.processor,6,28,77,0.004557961132377386,0.0013940260978415608,0.007920418865978718,0.01298713032156229
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,6,112,77,0.0024439289700239897,0.0008988443296402693,0.0005390051519498229,0.012987405061721802
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,6,112,77,0.003343957243487239,0.0010750757064670324,0.0005902906414121389,0.012987276539206505
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,6,112,77,0.0021351336035877466,0.0006446010083891451,0.00031775797833688557,0.01298743486404419
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,6,405,77,0.00037159561179578304,0.0002121764118783176,8.812508167466149e-05,0.012987203896045685
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,6,405,77,0.0012885842006653547,0.0006511530373245478,0.00043775056838057935,0.01298744510859251
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,6,405,77,0.003153816796839237,0.001543731428682804,0.0016783566679805517,0.012987264432013035
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,6,1620,77,0.003711060620844364,0.0030280835926532745,0.0028812282253056765,0.012987104244530201
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,6,1620,77,0.0032712751999497414,0.002845354378223419,0.0036307531408965588,0.01298705767840147
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,6,1620,77,0.0031444430351257324,0.0018549947999417782,0.0031895253341645002,0.012987070716917515
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,7,1620,77,0.0027898347470909357,0.002231544815003872,0.0021484503522515297,0.012987259775400162
