module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.003169936127960682,0.00372766493819654,0.004325780086219311,0.01298702321946621
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.002686386462301016,0.0021445718593895435,0.0029532555490732193,0.012987126596271992
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.004795438144356012,0.002413127338513732,0.002701240126043558,0.012987134046852589
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.002594809979200363,0.001543407212011516,0.0010617509251460433,0.012987323105335236
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.007803184911608696,0.003066468983888626,0.004107621964067221,0.012987214140594006
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.009840531274676323,0.002470629056915641,0.0036617168225347996,0.012987358495593071
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,28,77,0.0057364958338439465,0.008073477074503899,0.013695485889911652,0.012987055815756321
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.0016117849154397845,0.0008073680219240487,0.000973374058958143,0.01298732403665781
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.007386774756014347,0.002352792304009199,0.0020847648847848177,0.012987366877496243
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,112,77,0.002788353245705366,0.0009355233050882816,0.0009843162260949612,0.012987378053367138
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.0007029069820418954,0.00018776493379846215,0.00015633163275197148,0.012987219728529453
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.0018881179857999086,0.000887236266862601,0.0006484118057414889,0.012987426482141018
