module_name,step_index,query_tokens,key_tokens,target_mass,footprint_mass,comparison_mass,all_text_mass
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.0031676427461206913,0.003723709611222148,0.004356797318905592,0.012987018562853336
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.0026443202514201403,0.002114316448569298,0.003064230550080538,0.012987111695110798
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.005040577147156,0.0024864226579666138,0.0026853654999285936,0.01298713218420744
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.0026807046961039305,0.0015702424570918083,0.0011341815115883946,0.01298731379210949
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.008337724953889847,0.0032379140611737967,0.003504939144477248,0.012987143360078335
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.011518645100295544,0.002603188855573535,0.0026236495468765497,0.012987228110432625
mid_block.attentions.0.transformer_blocks.0.attn2.processor,0,28,77,0.006948066409677267,0.007199490908533335,0.016004865989089012,0.012987031601369381
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,0,112,77,0.0016248270403593779,0.0008018239750526845,0.0008516802336089313,0.012987334281206131
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,0,112,77,0.00779791409149766,0.002553177997469902,0.0016983032692223787,0.012987304478883743
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,0,112,77,0.0028957955073565245,0.0009656446054577827,0.0008364427485503256,0.012987421825528145
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,0,405,77,0.0007069722632877529,0.0001868635881692171,0.0001315644331043586,0.012987243942916393
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,0,405,77,0.001890373881906271,0.0009017052361741662,0.000661662663333118,0.012987468391656876
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,0,405,77,0.004861027933657169,0.0021679834462702274,0.0021169688552618027,0.012987053953111172
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,0,1620,77,0.0033011820632964373,0.003017055569216609,0.002503755269572139,0.012987041845917702
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,0,1620,77,0.003391314297914505,0.004648607224225998,0.003039691364392638,0.012987013906240463
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,0,1620,77,0.004204447381198406,0.0032231847289949656,0.0031789191998541355,0.012987034395337105
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.003709640121087432,0.0049819364212453365,0.004991569090634584,0.012987027876079082
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.0026913185138255358,0.0023935798089951277,0.003303768113255501,0.012987082824110985
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.005224266089498997,0.0017423832323402166,0.0024199585895985365,0.012987055815756321
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.0014781132340431213,0.0008762624929659069,0.0007632063352502882,0.012987249530851841
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.004312942735850811,0.002569875679910183,0.0031747492030262947,0.012987111695110798
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.010974700562655926,0.0020003020763397217,0.0018781002145260572,0.01298729982227087
mid_block.attentions.0.transformer_blocks.0.attn2.processor,1,28,77,0.005094900261610746,0.004298688843846321,0.010863031260669231,0.012987090274691582
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,1,112,77,0.0014533190988004208,0.0007626711158081889,0.0007524100947193801,0.0129873501136899
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,1,112,77,0.004554376471787691,0.0019532754085958004,0.0014973932411521673,0.012987312860786915
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,1,112,77,0.0027776118367910385,0.0007894274895079434,0.0007257131510414183,0.012987326830625534
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,1,405,77,0.0009735285420902073,0.0002261934132548049,0.0002003910776693374,0.012987235561013222
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,1,405,77,0.0017135862726718187,0.0009570063557475805,0.000611234805546701,0.012987382709980011
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,1,405,77,0.00416526896879077,0.0024315400514751673,0.0021274168975651264,0.012987164780497551
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,1,1620,77,0.004516425542533398,0.005423612892627716,0.003294536843895912,0.012987074442207813
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,1,1620,77,0.0034519280306994915,0.004286976996809244,0.004311916418373585,0.012987012974917889
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,1,1620,77,0.004545040428638458,0.003547054249793291,0.0036426845472306013,0.012987044639885426
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,2,1620,77,0.0033178660087287426,0.004095597192645073,0.0034839666914194822,0.01298704743385315
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,2,1620,77,0.00306100957095623,0.002752586966380477,0.0035196125973016024,0.012987117283046246
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,405,77,0.0032651799265295267,0.0013474281877279282,0.0016036618035286665,0.012987187132239342
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,405,77,0.0015612512361258268,0.0008407364948652685,0.0007513905875384808,0.01298727560788393
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,112,77,0.004908670671284199,0.002484925789758563,0.0027559015434235334,0.01298719085752964
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,112,77,0.006566544063389301,0.0017404713435098529,0.0013269120827317238,0.012987284921109676
mid_block.attentions.0.transformer_blocks.0.attn2.processor,2,28,77,0.003829365596175194,0.003317028982564807,0.00860271044075489,0.012987173162400723
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,2,112,77,0.0013289445778355002,0.0007235835073515773,0.0006975007709115744,0.012987364083528519
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,2,112,77,0.0037326072342693806,0.001541872275993228,0.001178978942334652,0.012987329624593258
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,2,112,77,0.0023327218368649483,0.0007577189826406538,0.0006649973220191896,0.012987389229238033
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,2,405,77,0.0008044421556405723,0.00022658813395537436,0.00025359177379868925,0.012987217865884304
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,2,405,77,0.0012811460765078664,0.0008406163542531431,0.0004786576610058546,0.01298739667981863
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,2,405,77,0.00402038311585784,0.0025640935637056828,0.0025599943473935127,0.012987099587917328
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,2,1620,77,0.004258487373590469,0.004229544196277857,0.003014713991433382,0.01298708189278841
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,2,1620,77,0.003675200743600726,0.0037128611002117395,0.004275963641703129,0.012987022288143635
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,2,1620,77,0.0040327380411326885,0.003134858561679721,0.0033090030774474144,0.012987031601369381
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,3,1620,77,0.0034516281448304653,0.0033750333823263645,0.002841978333890438,0.012987097725272179
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,3,1620,77,0.003549139713868499,0.0031332962680608034,0.0038096539210528135,0.01298714242875576
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,405,77,0.0026055225171148777,0.0011994049418717623,0.0013523619854822755,0.012987274676561356
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,405,77,0.0015067718923091888,0.0008493326022289693,0.0007463596411980689,0.012987283989787102
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,3,112,77,0.004266538191586733,0.002443860052153468,0.0024939191062003374,0.012987230904400349
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,3,112,77,0.008041269145905972,0.0019153415923938155,0.0014716963050886989,0.012987284921109676
mid_block.attentions.0.transformer_blocks.0.attn2.processor,3,28,77,0.004017733037471771,0.00353092048317194,0.008405270986258984,0.012987117283046246
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,3,112,77,0.0013160724192857742,0.0006985643994994462,0.0006375235388986766,0.012987364083528519
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,3,112,77,0.003188986796885729,0.0014751532580703497,0.0011691258987411857,0.012987373396754265
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,3,112,77,0.0023929853923618793,0.0007927943370305002,0.0006747076404280961,0.012987400405108929
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,3,405,77,0.0006491270032711327,0.00023684152984060347,0.00023284055350814015,0.01298722717911005
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,3,405,77,0.0011868556030094624,0.0008242919575423002,0.0004416884039528668,0.012987411580979824
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,3,405,77,0.003450477495789528,0.0022278695832937956,0.0020214670803397894,0.012987149879336357
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,3,1620,77,0.004366443958133459,0.004093124531209469,0.003080564085394144,0.012987093068659306
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,3,1620,77,0.003909461200237274,0.0035017719492316246,0.004346108064055443,0.01298703346401453
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,3,1620,77,0.0036074419040232897,0.0028475176077336073,0.00315477279946208,0.012987053021788597
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,4,1620,77,0.0035062020178884268,0.0027412069030106068,0.0023990334011614323,0.012987174093723297
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,4,1620,77,0.0042777108028531075,0.0035492333117872477,0.004114052746444941,0.01298715639859438
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,4,405,77,0.0022388675715774298,0.0010753280948847532,0.0011787120020017028,0.01298732403665781
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,4,405,77,0.0013826302019879222,0.0008679641759954393,0.0007391416002064943,0.012987280264496803
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,4,112,77,0.003997917752712965,0.002102295635268092,0.0020765054505318403,0.012987260706722736
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,4,112,77,0.008241992443799973,0.0022868537344038486,0.0016695052618160844,0.012987283058464527
mid_block.attentions.0.transformer_blocks.0.attn2.processor,4,28,77,0.004003521986305714,0.0036087820772081614,0.007834956981241703,0.012987155467271805
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,4,112,77,0.0012580398470163345,0.0006529411184601486,0.0005717269377782941,0.012987389229238033
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,4,112,77,0.0031441564206033945,0.001484493026509881,0.0011166695039719343,0.012987364083528519
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,4,112,77,0.0022451933473348618,0.0007651206688024104,0.0006365908193401992,0.012987403199076653
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,4,405,77,0.0005634427652694285,0.0002196689893025905,0.00020695230341516435,0.012987223453819752
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,4,405,77,0.001166303874924779,0.0008685254724696279,0.0004379036254249513,0.012987392954528332
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,4,405,77,0.0033929829951375723,0.0022479980252683163,0.0020111871417611837,0.01298715639859438
up_blocks.3.attentions.0.transformer_blocks.0.attn2.processor,4,1620,77,0.004361005965620279,0.003926225937902927,0.00307011348195374,0.012987088412046432
up_blocks.3.attentions.1.transformer_blocks.0.attn2.processor,4,1620,77,0.004054394084960222,0.00344076962210238,0.004225419368594885,0.012987036257982254
up_blocks.3.attentions.2.transformer_blocks.0.attn2.processor,4,1620,77,0.0033153642434626818,0.00266828085295856,0.0030518658459186554,0.012987052090466022
down_blocks.0.attentions.0.transformer_blocks.0.attn2.processor,5,1620,77,0.003620186587795615,0.0025884828064590693,0.0022497426252812147,0.012987222522497177
down_blocks.0.attentions.1.transformer_blocks.0.attn2.processor,5,1620,77,0.004936305806040764,0.0037845030892640352,0.00423565274104476,0.0129871666431427
down_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,5,405,77,0.001997146289795637,0.0010077015031129122,0.001071603037416935,0.012987369671463966
down_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,5,405,77,0.00130325963255018,0.0008740659104660153,0.0007308189524337649,0.012987293303012848
down_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,5,112,77,0.003691303776577115,0.002030517440289259,0.001970634562894702,0.012987284921109676
down_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,5,112,77,0.007489894982427359,0.002516483888030052,0.0017610430950298905,0.012987293303012848
mid_block.attentions.0.transformer_blocks.0.attn2.processor,5,28,77,0.003900366136804223,0.003685984294861555,0.007291424088180065,0.012987195514142513
up_blocks.1.attentions.0.transformer_blocks.0.attn2.processor,5,112,77,0.0012372683268040419,0.0006582910427823663,0.0005597861600108445,0.01298741064965725
up_blocks.1.attentions.1.transformer_blocks.0.attn2.processor,5,112,77,0.003007998690009117,0.0014602415030822158,0.0010582396062090993,0.012987361289560795
up_blocks.1.attentions.2.transformer_blocks.0.attn2.processor,5,112,77,0.0021891018841415644,0.0007640697876922786,0.0006209484999999404,0.012987405993044376
up_blocks.2.attentions.0.transformer_blocks.0.attn2.processor,5,405,77,0.0005414725164882839,0.00022147595882415771,0.00019826772040687501,0.012987220659852028
up_blocks.2.attentions.1.transformer_blocks.0.attn2.processor,5,405,77,0.0011202811729162931,0.0008363056695088744,0.0004196487134322524,0.012987397611141205
up_blocks.2.attentions.2.transformer_blocks.0.attn2.processor,5,405,77,0.003151649609208107,0.0021712621673941612,0.001958133652806282,0.012987197376787663
