group,scene_id,method,score,late_coverage
collision,collision_019,motion_only,0.99991101,1.00000000
collision,collision_019,object_only,0.87146473,0.56250000
collision,collision_019,soft_product,0.86133188,0.52083331
collision,collision_019,gated_cone,1.00000000,0.78125000
collision,collision_020,motion_only,0.99990892,1.00000000
collision,collision_020,object_only,0.94581449,0.45833334
collision,collision_020,soft_product,0.94261247,0.44444445
collision,collision_020,gated_cone,1.00000000,0.75000000
collision,collision_021,motion_only,0.99992412,1.00000000
collision,collision_021,object_only,0.98928607,0.43750000
collision,collision_021,soft_product,0.98473489,0.43750000
collision,collision_021,gated_cone,1.00000000,0.57638890
collision,collision_022,motion_only,0.99987972,1.00000000
collision,collision_022,object_only,0.97797233,0.50000000
collision,collision_022,soft_product,0.97511178,0.45833334
collision,collision_022,gated_cone,1.00000000,1.00000000
collision,collision_023,motion_only,0.99994791,1.00000000
collision,collision_023,object_only,0.91043162,0.71527779
collision,collision_023,soft_product,0.90331739,0.71527779
collision,collision_023,gated_cone,1.00000000,0.06944445
collision,collision_029,motion_only,0.99969405,1.00000000
collision,collision_029,object_only,0.91760564,0.51562500
collision,collision_029,soft_product,0.91479158,0.48437500
collision,collision_029,gated_cone,1.00000000,0.67187500
collision,collision_030,motion_only,0.99990660,1.00000000
collision,collision_030,object_only,0.95524752,0.36805555
collision,collision_030,soft_product,0.94620907,0.36805555
collision,collision_030,gated_cone,1.00000000,0.56944442
generic,generic_preserve_023,motion_only,0.06371396,0.00000000
generic,generic_preserve_023,object_only,0.50124586,0.02083333
generic,generic_preserve_023,soft_product,0.00512497,0.00000000
generic,generic_preserve_023,gated_cone,0.00000000,0.00000000
generic,generic_preserve_009,motion_only,0.06758943,0.00000000
generic,generic_preserve_009,object_only,0.13655671,0.00000000
generic,generic_preserve_009,soft_product,0.00194454,0.00000000
generic,generic_preserve_009,gated_cone,0.00000000,0.00000000
generic,generic_preserve_011,motion_only,0.13596763,0.00000000
generic,generic_preserve_011,object_only,0.07864598,0.00000000
generic,generic_preserve_011,soft_product,0.00331578,0.00000000
generic,generic_preserve_011,gated_cone,0.00000000,0.00000000
generic,generic_preserve_006,motion_only,0.20243938,0.00000000
generic,generic_preserve_006,object_only,0.11673774,0.00000000
generic,generic_preserve_006,soft_product,0.00513046,0.00000000
generic,generic_preserve_006,gated_cone,0.00000000,0.00000000
generic,generic_preserve_001,motion_only,0.04229959,0.00000000
generic,generic_preserve_001,object_only,0.31416371,0.00000000
generic,generic_preserve_001,soft_product,0.00770932,0.00000000
generic,generic_preserve_001,gated_cone,0.00000000,0.00000000
generic,generic_preserve_019,motion_only,0.03630219,0.00000000
generic,generic_preserve_019,object_only,0.01738925,0.00000000
generic,generic_preserve_019,soft_product,0.00026219,0.00000000
generic,generic_preserve_019,gated_cone,0.00000000,0.00000000
generic,generic_preserve_004,motion_only,0.12061142,0.00000000
generic,generic_preserve_004,object_only,0.09601049,0.00000000
generic,generic_preserve_004,soft_product,0.00369017,0.00000000
generic,generic_preserve_004,gated_cone,0.00000000,0.00000000
generic,generic_preserve_025,motion_only,0.29566982,0.00000000
generic,generic_preserve_025,object_only,0.11204050,0.00000000
generic,generic_preserve_025,soft_product,0.01245357,0.00000000
generic,generic_preserve_025,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_000,motion_only,0.99956697,1.00000000
waterdrop,waterdrop_000,object_only,0.33618596,0.01041667
waterdrop,waterdrop_000,soft_product,0.32292762,0.01041667
waterdrop,waterdrop_000,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_004,motion_only,0.99877256,1.00000000
waterdrop,waterdrop_004,object_only,0.67022353,0.02777778
waterdrop,waterdrop_004,soft_product,0.63659835,0.01388889
waterdrop,waterdrop_004,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_005,motion_only,0.99989927,1.00000000
waterdrop,waterdrop_005,object_only,0.58627158,0.06766918
waterdrop,waterdrop_005,soft_product,0.58362770,0.06766918
waterdrop,waterdrop_005,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_007,motion_only,0.99980718,1.00000000
waterdrop,waterdrop_007,object_only,0.73305190,0.08333334
waterdrop,waterdrop_007,soft_product,0.72303367,0.08333334
waterdrop,waterdrop_007,gated_cone,1.00000000,0.91666669
waterdrop,waterdrop_009,motion_only,0.99957311,0.99305558
waterdrop,waterdrop_009,object_only,0.78541070,0.09722222
waterdrop,waterdrop_009,soft_product,0.77261102,0.09027778
waterdrop,waterdrop_009,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_010,motion_only,0.99978209,1.00000000
waterdrop,waterdrop_010,object_only,0.45327389,0.00000000
waterdrop,waterdrop_010,soft_product,0.45289677,0.00000000
waterdrop,waterdrop_010,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_011,motion_only,0.99979490,0.98958331
waterdrop,waterdrop_011,object_only,0.28519583,0.00000000
waterdrop,waterdrop_011,soft_product,0.28223988,0.00000000
waterdrop,waterdrop_011,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_013,motion_only,0.99765247,1.00000000
waterdrop,waterdrop_013,object_only,0.25291428,0.00000000
waterdrop,waterdrop_013,soft_product,0.24994984,0.00000000
waterdrop,waterdrop_013,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_014,motion_only,0.99978608,1.00000000
waterdrop,waterdrop_014,object_only,0.60133404,0.04166667
waterdrop,waterdrop_014,soft_product,0.59523118,0.04166667
waterdrop,waterdrop_014,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_016,motion_only,0.99985135,1.00000000
waterdrop,waterdrop_016,object_only,0.57965356,0.00694444
waterdrop,waterdrop_016,soft_product,0.57913595,0.00694444
waterdrop,waterdrop_016,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_018,motion_only,0.99988258,0.99305558
waterdrop,waterdrop_018,object_only,0.60501730,0.04861111
waterdrop,waterdrop_018,soft_product,0.60402972,0.04861111
waterdrop,waterdrop_018,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_019,motion_only,0.99991244,1.00000000
waterdrop,waterdrop_019,object_only,0.44588792,0.00694444
waterdrop,waterdrop_019,soft_product,0.44455540,0.00694444
waterdrop,waterdrop_019,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_020,motion_only,0.99984914,0.99305558
waterdrop,waterdrop_020,object_only,0.88043505,0.04166667
waterdrop,waterdrop_020,soft_product,0.87980890,0.04166667
waterdrop,waterdrop_020,gated_cone,1.00000000,1.00000000
waterdrop,waterdrop_021,motion_only,0.99983561,1.00000000
waterdrop,waterdrop_021,object_only,0.78844076,0.05555556
waterdrop,waterdrop_021,soft_product,0.78740364,0.05555556
waterdrop,waterdrop_021,gated_cone,1.00000000,1.00000000
waterdrop,waterdrop_023,motion_only,0.99993360,1.00000000
waterdrop,waterdrop_023,object_only,0.22020681,0.00000000
waterdrop,waterdrop_023,soft_product,0.21886086,0.00000000
waterdrop,waterdrop_023,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_025,motion_only,0.99849153,1.00000000
waterdrop,waterdrop_025,object_only,0.78421074,0.00694444
waterdrop,waterdrop_025,soft_product,0.77682912,0.00694444
waterdrop,waterdrop_025,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_026,motion_only,0.99973983,1.00000000
waterdrop,waterdrop_026,object_only,0.61132222,0.01470588
waterdrop,waterdrop_026,soft_product,0.59220612,0.00735294
waterdrop,waterdrop_026,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_029,motion_only,0.99987751,1.00000000
waterdrop,waterdrop_029,object_only,0.39422262,0.00000000
waterdrop,waterdrop_029,soft_product,0.39317161,0.00000000
waterdrop,waterdrop_029,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_032,motion_only,0.99986094,1.00000000
waterdrop,waterdrop_032,object_only,0.67853189,0.09090909
waterdrop,waterdrop_032,soft_product,0.67653257,0.09090909
waterdrop,waterdrop_032,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_035,motion_only,0.99982977,0.98750001
waterdrop,waterdrop_035,object_only,0.45910513,0.00000000
waterdrop,waterdrop_035,soft_product,0.45705634,0.00000000
waterdrop,waterdrop_035,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_038,motion_only,0.99948436,1.00000000
waterdrop,waterdrop_038,object_only,0.64017838,0.02877698
waterdrop,waterdrop_038,soft_product,0.63634479,0.02877698
waterdrop,waterdrop_038,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_039,motion_only,0.99874663,1.00000000
waterdrop,waterdrop_039,object_only,0.56406909,0.00769231
waterdrop,waterdrop_039,soft_product,0.55728239,0.00769231
waterdrop,waterdrop_039,gated_cone,0.00000000,0.00000000
waterdrop,waterdrop_040,motion_only,0.99948192,1.00000000
