group,scene_id,direct_anchor_score,propagated_score,direct_late_coverage,propagated_late_coverage
collision,collision_000,0.98791140,0.98791140,0.61475408,0.62295079
collision,collision_001,0.97612786,0.97612786,0.74305558,0.80555558
collision,collision_002,0.97599244,0.97599244,0.88194442,0.97916669
collision,collision_003,0.98218685,0.98218685,0.50757575,0.70454544
collision,collision_004,0.90972608,0.90972608,0.47321430,0.73214287
collision,collision_005,0.98773003,0.98773003,0.61111110,0.81944442
collision,collision_006,0.97712177,0.97712177,0.43055555,0.54861110
collision,collision_007,0.97312123,0.97312123,0.31250000,0.68750000
collision,collision_008,0.88687551,0.88687551,0.16964285,0.33928570
collision,collision_009,0.97687542,0.97687542,0.94776118,0.97014928
collision,collision_010,0.93885314,0.93885314,0.47457626,0.79661018
collision,collision_011,0.94261599,0.94261599,0.77083331,0.96527779
collision,collision_012,0.96806729,0.96806729,0.54166669,0.87500000
collision,collision_013,0.98455322,0.98455322,0.88888890,0.95833331
collision,collision_014,0.98626542,0.98626542,0.95833331,0.97916669
collision,collision_015,0.98569191,0.98569191,0.90384614,0.97115386
collision,collision_016,0.96007347,0.96007347,0.59027779,0.88888890
collision,collision_017,0.99416387,0.99416387,0.87500000,0.95833331
collision,collision_018,0.98134685,0.98134685,0.56818181,0.89393938
collision,collision_019,0.89803547,0.89803547,0.47916666,0.68750000
collision,collision_020,0.96054268,0.96054268,0.56944442,0.65277779
collision,collision_021,0.99336082,0.99336082,0.89583331,0.95138890
collision,collision_022,0.98358172,0.98358172,0.57638890,0.93055558
collision,collision_023,0.96828204,0.96828204,0.96527779,0.97222221
collision,collision_024,0.93027121,0.93027121,0.40000001,0.68461537
collision,collision_025,0.98917687,0.98917687,0.85576922,0.92307693
collision,collision_026,0.98567104,0.98567104,0.55084747,0.73728812
collision,collision_027,0.95598096,0.95598096,0.78125000,0.87500000
collision,collision_028,0.95079803,0.95079803,0.54687500,0.68750000
collision,collision_029,0.94203770,0.94203770,0.60156250,0.96875000
collision,collision_030,0.97309864,0.97309864,0.55555558,0.86805558
generic,generic_preserve_023,0.33428213,0.34175056,0.00000000,0.00000000
generic,generic_preserve_009,0.27454692,0.28191501,0.00000000,0.00000000
generic,generic_preserve_011,0.11788635,0.13876837,0.00000000,0.00000000
generic,generic_preserve_006,0.18423858,0.20767045,0.00000000,0.00000000
generic,generic_preserve_001,0.38346070,0.43706906,0.00694444,0.00694444
generic,generic_preserve_019,0.02900649,0.03585169,0.00000000,0.00000000
generic,generic_preserve_004,0.30399927,0.30399927,0.00000000,0.00000000
generic,generic_preserve_025,0.13468419,0.15645857,0.00000000,0.00000000
waterdrop,waterdrop_000,0.59802777,0.60401905,0.04166667,0.04166667
waterdrop,waterdrop_004,0.78323543,0.78323543,0.18055555,0.22916667
waterdrop,waterdrop_005,0.57256562,0.57256562,0.05263158,0.05263158
waterdrop,waterdrop_007,0.88583386,0.88583386,0.13194445,0.22916667
waterdrop,waterdrop_009,0.88000542,0.88000542,0.14583333,0.15277778
waterdrop,waterdrop_010,0.86633313,0.86633313,0.00892857,0.00892857
waterdrop,waterdrop_011,0.59482890,0.59482890,0.01041667,0.01041667
waterdrop,waterdrop_013,0.26661786,0.32551962,0.00000000,0.00000000
waterdrop,waterdrop_014,0.78673124,0.78673124,0.11111111,0.14583333
waterdrop,waterdrop_016,0.92058349,0.92058349,0.08333334,0.08333334
waterdrop,waterdrop_018,0.85328084,0.85328084,0.22916667,0.34722221
waterdrop,waterdrop_019,0.85938197,0.85938197,0.33333334,0.40972221
waterdrop,waterdrop_020,0.95067537,0.95067537,0.04166667,0.20138890
waterdrop,waterdrop_021,0.87085420,0.87085420,0.15277778,0.39583334
waterdrop,waterdrop_023,0.70086086,0.70086086,0.00000000,0.00000000
waterdrop,waterdrop_025,0.86787796,0.86787796,0.01388889,0.03472222
waterdrop,waterdrop_026,0.78097355,0.78097355,0.04411765,0.19852941
waterdrop,waterdrop_029,0.73482168,0.73482168,0.07777778,0.07777778
waterdrop,waterdrop_032,0.86467731,0.86467731,0.28030303,0.37878788
waterdrop,waterdrop_035,0.66945171,0.66945171,0.03750000,0.03750000
waterdrop,waterdrop_038,0.88696420,0.88696420,0.10791367,0.25179857
waterdrop,waterdrop_039,0.78193110,0.78193110,0.03846154,0.20000000
waterdrop,waterdrop_040,0.83176005,0.83176005,0.00961538,0.00961538
waterdrop,waterdrop_048,0.90575188,0.90575188,0.00694444,0.00694444
waterdrop,waterdrop_049,0.50774056,0.50774056,0.00781250,0.00781250
waterdrop,waterdrop_054,0.71703398,0.71703398,0.00000000,0.04861111
waterdrop,waterdrop_expansion_wdgen001,0.84871697,0.84871697,0.10416666,0.12500000
waterdrop,waterdrop_expansion_wdgen005,0.81070358,0.81070358,0.02985075,0.02985075
waterdrop,waterdrop_expansion_wdgen006,0.74103260,0.74103260,0.04166667,0.09722222
waterdrop,waterdrop_expansion_wdgen008,0.56420416,0.56599224,0.05555556,0.06944445
waterdrop,waterdrop_expansion_wdgen014,0.59343505,0.59494221,0.02083333,0.02083333
other_ball,other_ball_000,0.75524688,0.75524688,0.10416666,0.14583333
other_ball,other_ball_001,0.32112858,0.32340136,0.00000000,0.00000000
other_ball,other_ball_003,0.96117795,0.96117795,0.28395063,0.46913579
other_ball,other_ball_005,0.93209481,0.93209481,0.83720928,0.93023258
other_ball,other_ball_006,0.71746099,0.71746099,0.14492753,0.26086956
other_ball,other_ball_007,0.90330565,0.90330565,0.72916669,0.96527779
negation,red_ball_negation_001,0.60971749,0.61051977,0.04861111,0.08333334
negation,red_ball_negation_003,0.85741425,0.85741425,0.34722221,0.49305555
