method,group,scene_id,projection_ratio
pca,collision_train,collision_000,0.57212657
pca,collision_train,collision_001,0.62738776
pca,collision_train,collision_002,0.65706241
pca,collision_train,collision_003,0.47187296
pca,collision_train,collision_004,0.62766850
pca,collision_train,collision_005,0.68002588
pca,collision_train,collision_006,0.40717977
pca,collision_train,collision_007,0.72032768
pca,collision_train,collision_008,0.64888775
pca,collision_train,collision_009,0.59765524
pca,collision_train,collision_010,0.53094369
pca,collision_train,collision_011,0.51321912
pca,collision_train,collision_012,0.68596661
pca,collision_train,collision_013,0.64996427
pca,collision_train,collision_014,0.46162337
pca,collision_train,collision_015,0.66041458
pca,collision_train,collision_016,0.69079125
pca,collision_train,collision_017,0.75737470
pca,collision_train,collision_018,0.56650329
pca,collision_train,collision_024,0.86502409
pca,collision_train,collision_025,0.57605898
pca,collision_train,collision_026,0.52374166
pca,collision_train,collision_027,0.78151548
pca,collision_train,collision_028,0.80426490
pca,collision_test,collision_019,0.66352153
pca,collision_test,collision_020,0.54267836
pca,collision_test,collision_021,0.50660682
pca,collision_test,collision_022,0.50556570
pca,collision_test,collision_023,0.33941904
pca,collision_test,collision_029,0.67392206
pca,collision_test,collision_030,0.47659209
pca,generic_train,generic_preserve_000,0.28304082
pca,generic_train,generic_preserve_001,0.24648736
pca,generic_train,generic_preserve_002,0.24945129
pca,generic_train,generic_preserve_003,0.53565985
pca,generic_train,generic_preserve_004,0.38280150
pca,generic_train,generic_preserve_005,0.33351025
pca,generic_train,generic_preserve_006,0.35312694
pca,generic_train,generic_preserve_007,0.51113832
pca,generic_train,generic_preserve_008,0.29597533
pca,generic_train,generic_preserve_009,0.40840739
pca,generic_train,generic_preserve_010,0.39828479
pca,generic_train,generic_preserve_011,0.30006129
pca,generic_train,generic_preserve_012,0.35654184
pca,generic_train,generic_preserve_013,0.35896456
pca,generic_train,generic_preserve_014,0.20247522
pca,generic_train,generic_preserve_015,0.29084611
pca,generic_train,generic_preserve_016,0.25748983
pca,generic_train,generic_preserve_017,0.32781890
pca,generic_train,generic_preserve_018,0.40657729
pca,generic_train,generic_preserve_019,0.33520493
pca,generic_train,generic_preserve_020,0.34549731
pca,generic_train,generic_preserve_021,0.53301489
pca,generic_train,generic_preserve_022,0.24132830
pca,generic_train,generic_preserve_023,0.20275886
pca,generic_test,generic_preserve_024,0.32704136
pca,generic_test,generic_preserve_025,0.36865473
pca,generic_test,generic_preserve_026,0.29336810
pca,generic_test,generic_preserve_027,0.30053031
pca,generic_test,generic_preserve_028,0.30779451
pca,generic_test,generic_preserve_029,0.25773990
pca,generic_test,generic_preserve_030,0.41619968
pca,generic_test,generic_preserve_031,0.48530945
pca,waterdrop,waterdrop_000,0.58839262
pca,waterdrop,waterdrop_004,0.46236336
pca,waterdrop,waterdrop_005,0.59281445
pca,waterdrop,waterdrop_007,0.61994004
pca,waterdrop,waterdrop_009,0.62168103
pca,waterdrop,waterdrop_010,0.64365095
pca,waterdrop,waterdrop_011,0.49852026
pca,waterdrop,waterdrop_013,0.43261579
pca,waterdrop,waterdrop_014,0.51320177
pca,waterdrop,waterdrop_016,0.41426989
pca,waterdrop,waterdrop_018,0.51469225
pca,waterdrop,waterdrop_019,0.43555355
pca,waterdrop,waterdrop_020,0.51374024
pca,waterdrop,waterdrop_021,0.57569790
pca,waterdrop,waterdrop_023,0.57278550
pca,waterdrop,waterdrop_025,0.55379987
pca,waterdrop,waterdrop_026,0.53085262
pca,waterdrop,waterdrop_029,0.56514549
pca,waterdrop,waterdrop_032,0.55242717
pca,waterdrop,waterdrop_035,0.65431148
pca,waterdrop,waterdrop_038,0.61291325
pca,waterdrop,waterdrop_039,0.56187230
pca,waterdrop,waterdrop_040,0.57268906
pca,waterdrop,waterdrop_048,0.62697875
pca,waterdrop,waterdrop_049,0.58774036
pca,waterdrop,waterdrop_054,0.61147696
pca,waterdrop,waterdrop_expansion_wdgen001,0.60714698
pca,waterdrop,waterdrop_expansion_wdgen005,0.48570907
