group,scene_id,direct_anchor_score,propagated_score,direct_late_coverage,propagated_late_coverage
collision,collision_000,0.99162877,0.99162877,0.74590164,0.81147540
collision,collision_001,0.97929633,0.97929633,0.78472221,0.86111110
collision,collision_002,0.98043048,0.98043048,0.92361110,0.98611110
collision,collision_003,0.98730034,0.98730034,0.54545456,0.72727275
collision,collision_004,0.92231941,0.92231941,0.56250000,0.77678573
collision,collision_005,0.98785132,0.98785132,0.59027779,0.79166669
collision,collision_006,0.97310913,0.97310913,0.46527779,0.59027779
collision,collision_007,0.97695512,0.97695512,0.35714287,0.80357140
collision,collision_008,0.91966009,0.91966009,0.17857143,0.35714287
collision,collision_009,0.97392452,0.97392452,0.93283582,0.98507464
collision,collision_010,0.96352947,0.96352947,0.54237288,0.83898306
collision,collision_011,0.95711190,0.95711190,0.80555558,0.97916669
collision,collision_012,0.97329408,0.97329408,0.65277779,0.97222221
collision,collision_013,0.98277521,0.98277521,0.90277779,0.98611110
collision,collision_014,0.97866887,0.97866887,0.97916669,0.99305558
collision,collision_015,0.98853827,0.98853827,0.97115386,1.00000000
collision,collision_016,0.96560371,0.96560371,0.73611110,0.92361110
collision,collision_017,0.99259508,0.99259508,0.86111110,0.96527779
collision,collision_018,0.97517806,0.97517806,0.60606062,0.93939394
collision,collision_019,0.89972216,0.89972216,0.57291669,0.76041669
collision,collision_020,0.97059989,0.97059989,0.62500000,0.68055558
collision,collision_021,0.99022639,0.99022639,0.84027779,0.93750000
collision,collision_022,0.98406839,0.98406839,0.65277779,0.93750000
collision,collision_023,0.95927757,0.95927757,0.94444442,0.97222221
collision,collision_024,0.93370390,0.93370390,0.54615384,0.80000001
collision,collision_025,0.99060458,0.99060458,0.86538464,0.93269229
collision,collision_026,0.98225898,0.98225898,0.55932206,0.72033900
collision,collision_027,0.96449280,0.96449280,0.78125000,0.87500000
collision,collision_028,0.95610064,0.95610064,0.68750000,0.82812500
collision,collision_029,0.96113402,0.96113402,0.65625000,0.96875000
collision,collision_030,0.97025615,0.97025615,0.47222221,0.65972221
generic,generic_preserve_000,0.25577950,0.31044859,0.00000000,0.00000000
generic,generic_preserve_001,0.24305183,0.30558887,0.00000000,0.00000000
generic,generic_preserve_002,0.07384577,0.07464085,0.00000000,0.00000000
generic,generic_preserve_003,0.54384601,0.58759248,0.02777778,0.09027778
generic,generic_preserve_004,0.10146101,0.10268648,0.00000000,0.00000000
generic,generic_preserve_005,0.11744520,0.12580100,0.00000000,0.00000000
generic,generic_preserve_006,0.05773427,0.07092260,0.00000000,0.00000000
generic,generic_preserve_007,0.25780511,0.26691812,0.00000000,0.00000000
generic,generic_preserve_008,0.29628178,0.40918767,0.00000000,0.00000000
generic,generic_preserve_009,0.15803975,0.16086835,0.00000000,0.00000000
generic,generic_preserve_010,0.27537403,0.34761471,0.00000000,0.00000000
generic,generic_preserve_011,0.11717466,0.12134870,0.00000000,0.00000000
generic,generic_preserve_012,0.14900750,0.16949047,0.00000000,0.00000000
generic,generic_preserve_013,0.09513154,0.12473503,0.00000000,0.00000000
generic,generic_preserve_014,0.10649887,0.12447587,0.00000000,0.00000000
generic,generic_preserve_015,0.34634736,0.38901716,0.00694444,0.00694444
generic,generic_preserve_016,0.07284721,0.08201260,0.00000000,0.00000000
generic,generic_preserve_017,0.41286823,0.45438990,0.01388889,0.01388889
generic,generic_preserve_018,0.30816925,0.30816925,0.00000000,0.00000000
