case_id,split,condition,method,early_base_mae,base_post_change_mae,candidate_post_change_mae,post_change_suppression_percent,video_path
trained_explicit,train,explicit_causal,plain,0.20416619,0.04307371,0.01358468,68.46,outputs/waterdrop_plain_lora_100_quick_eval5/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4
trained_explicit,train,explicit_causal,mask_w0_bg1,0.20200326,0.04307371,0.01315493,69.46,outputs/waterdrop_mask_w0_bg1_lora_100_quick_eval5/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4
trained_explicit,train,explicit_causal,mask_w1_bg1,0.20871279,0.04307371,0.01278449,70.32,outputs/waterdrop_mask_w1_bg1_lora_100_quick_eval5/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4
trained_explicit,train,explicit_causal,mask_w2_bg1,0.19742388,0.04307371,0.01296293,69.91,outputs/waterdrop_mask_w2_bg1_lora_100_quick_eval5/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4
trained_explicit,train,explicit_causal,mask_w4_bg1,0.18714094,0.04307371,0.01279363,70.30,outputs/waterdrop_mask_bg_lora_100_quick_eval5/videos/000_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4
heldout_hard_surface,test,explicit_causal,plain,0.07557776,0.00800575,0.00304679,61.94,outputs/waterdrop_plain_lora_100_quick_eval5/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9100.mp4
heldout_hard_surface,test,explicit_causal,mask_w0_bg1,0.08063979,0.00800575,0.00256208,68.00,outputs/waterdrop_mask_w0_bg1_lora_100_quick_eval5/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9100.mp4
heldout_hard_surface,test,explicit_causal,mask_w1_bg1,0.07866567,0.00800575,0.00311395,61.10,outputs/waterdrop_mask_w1_bg1_lora_100_quick_eval5/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9100.mp4
heldout_hard_surface,test,explicit_causal,mask_w2_bg1,0.07646956,0.00800575,0.00251669,68.56,outputs/waterdrop_mask_w2_bg1_lora_100_quick_eval5/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9100.mp4
heldout_hard_surface,test,explicit_causal,mask_w4_bg1,0.07566867,0.00800575,0.00261066,67.39,outputs/waterdrop_mask_bg_lora_100_quick_eval5/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9100.mp4
heldout_liquid_surface,test,explicit_causal,plain,0.17141561,0.01539652,0.00674589,56.19,outputs/waterdrop_plain_lora_100_quick_eval5/videos/002_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9100.mp4
heldout_liquid_surface,test,explicit_causal,mask_w0_bg1,0.16899355,0.01539652,0.00709798,53.90,outputs/waterdrop_mask_w0_bg1_lora_100_quick_eval5/videos/002_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9100.mp4
heldout_liquid_surface,test,explicit_causal,mask_w1_bg1,0.17762657,0.01539652,0.00674923,56.16,outputs/waterdrop_mask_w1_bg1_lora_100_quick_eval5/videos/002_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9100.mp4
heldout_liquid_surface,test,explicit_causal,mask_w2_bg1,0.17322963,0.01539652,0.00633313,58.87,outputs/waterdrop_mask_w2_bg1_lora_100_quick_eval5/videos/002_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9100.mp4
heldout_liquid_surface,test,explicit_causal,mask_w4_bg1,0.17146704,0.01539652,0.00639384,58.47,outputs/waterdrop_mask_bg_lora_100_quick_eval5/videos/002_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed9100.mp4
unrelated_footprint,control,unrelated_footprint,plain,0.25573221,0.01035220,0.00375555,63.72,outputs/waterdrop_plain_lora_100_quick_eval5/videos/003_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4
unrelated_footprint,control,unrelated_footprint,mask_w0_bg1,0.23868503,0.01035220,0.00426934,58.76,outputs/waterdrop_mask_w0_bg1_lora_100_quick_eval5/videos/003_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4
unrelated_footprint,control,unrelated_footprint,mask_w1_bg1,0.24169376,0.01035220,0.00414129,60.00,outputs/waterdrop_mask_w1_bg1_lora_100_quick_eval5/videos/003_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4
unrelated_footprint,control,unrelated_footprint,mask_w2_bg1,0.23664446,0.01035220,0.00428835,58.58,outputs/waterdrop_mask_w2_bg1_lora_100_quick_eval5/videos/003_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4
unrelated_footprint,control,unrelated_footprint,mask_w4_bg1,0.22233188,0.01035220,0.00430770,58.39,outputs/waterdrop_mask_bg_lora_100_quick_eval5/videos/003_a-realistic-locked-camera-macro-video-of-a-dark-gray-ceramic-tile-in-one_seed9600.mp4
clean_control,control,clean_control,plain,0.06976628,0.00269535,0.00251757,6.60,outputs/waterdrop_plain_lora_100_quick_eval5/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-for-the-enti_seed9100.mp4
clean_control,control,clean_control,mask_w0_bg1,0.07169825,0.00269535,0.00242497,10.03,outputs/waterdrop_mask_w0_bg1_lora_100_quick_eval5/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-for-the-enti_seed9100.mp4
clean_control,control,clean_control,mask_w1_bg1,0.08114654,0.00269535,0.00234049,13.17,outputs/waterdrop_mask_w1_bg1_lora_100_quick_eval5/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-for-the-enti_seed9100.mp4
clean_control,control,clean_control,mask_w2_bg1,0.07245328,0.00269535,0.00220962,18.02,outputs/waterdrop_mask_w2_bg1_lora_100_quick_eval5/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-for-the-enti_seed9100.mp4
clean_control,control,clean_control,mask_w4_bg1,0.07873444,0.00269535,0.00242740,9.94,outputs/waterdrop_mask_bg_lora_100_quick_eval5/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-for-the-enti_seed9100.mp4
