sample_id,mechanism,generalization_group,baseline,mean_rgb,spatial_std,dark_pixel_fraction,saturated_pixel_fraction,temporal_frame_mae,early_mae_vs_original,late_mae_vs_original,quality_collapse,video_path
eval_water_impact_seen_seen_00,water_impact,seen_seen,original,176.2742,26.1322,0.000000,0.003733,11.4511,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/water_impact/videos/eval_water_impact_seen_seen_00.mp4
eval_water_impact_seen_seen_00,water_impact,seen_seen,negative_prompt,162.0260,32.9040,0.000000,0.002791,9.3001,16.2034,24.0731,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/water_impact/videos/eval_water_impact_seen_seen_00.mp4
eval_water_impact_seen_seen_00,water_impact,seen_seen,t2vunlearning_adapted,149.5538,43.0248,0.000008,0.010559,29.6653,29.4388,35.2756,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/water_impact/videos/eval_water_impact_seen_seen_00.mp4
eval_water_impact_seen_seen_00,water_impact,seen_seen,videoeraser_official,184.9645,49.0015,0.002094,0.026301,4.0669,27.3301,37.8411,false,outputs/protocol_v1/videoeraser_official/water_impact/videos/eval_water_impact_seen_seen_00.mp4
eval_water_impact_seen_seen_01,water_impact,seen_seen,original,210.7537,33.7416,0.000000,0.064761,4.9436,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/water_impact/videos/eval_water_impact_seen_seen_01.mp4
eval_water_impact_seen_seen_01,water_impact,seen_seen,negative_prompt,204.2212,46.7558,0.000000,0.091345,3.1905,11.3732,16.7879,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/water_impact/videos/eval_water_impact_seen_seen_01.mp4
eval_water_impact_seen_seen_01,water_impact,seen_seen,t2vunlearning_adapted,187.4361,49.4225,0.000130,0.184766,15.6377,28.4895,34.7654,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/water_impact/videos/eval_water_impact_seen_seen_01.mp4
eval_water_impact_seen_seen_01,water_impact,seen_seen,videoeraser_official,209.5920,29.8271,0.000009,0.088362,0.4658,22.7245,25.8269,false,outputs/protocol_v1/videoeraser_official/water_impact/videos/eval_water_impact_seen_seen_01.mp4
eval_water_impact_seen_seen_02,water_impact,seen_seen,original,206.4988,65.8186,0.050349,0.145163,6.1166,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/water_impact/videos/eval_water_impact_seen_seen_02.mp4
eval_water_impact_seen_seen_02,water_impact,seen_seen,negative_prompt,197.4340,59.4903,0.029871,0.002995,4.8238,20.9143,21.9334,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/water_impact/videos/eval_water_impact_seen_seen_02.mp4
eval_water_impact_seen_seen_02,water_impact,seen_seen,t2vunlearning_adapted,189.8964,82.4277,0.121631,0.133351,7.4619,31.4535,32.8180,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/water_impact/videos/eval_water_impact_seen_seen_02.mp4
eval_water_impact_seen_seen_02,water_impact,seen_seen,videoeraser_official,199.9656,58.3915,0.028737,0.144846,1.7129,28.5837,28.6219,false,outputs/protocol_v1/videoeraser_official/water_impact/videos/eval_water_impact_seen_seen_02.mp4
eval_water_impact_seen_seen_03,water_impact,seen_seen,original,183.3123,17.8784,0.000000,0.002700,6.9044,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/water_impact/videos/eval_water_impact_seen_seen_03.mp4
eval_water_impact_seen_seen_03,water_impact,seen_seen,negative_prompt,173.1584,23.0394,0.000000,0.002096,5.9759,11.5574,13.1244,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/water_impact/videos/eval_water_impact_seen_seen_03.mp4
eval_water_impact_seen_seen_03,water_impact,seen_seen,t2vunlearning_adapted,149.4694,48.3151,0.000000,0.009715,31.3231,29.9834,39.9080,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/water_impact/videos/eval_water_impact_seen_seen_03.mp4
eval_water_impact_seen_seen_03,water_impact,seen_seen,videoeraser_official,168.8632,44.2457,0.000000,0.004066,2.7184,35.1725,35.8733,false,outputs/protocol_v1/videoeraser_official/water_impact/videos/eval_water_impact_seen_seen_03.mp4
eval_water_impact_seen_seen_04,water_impact,seen_seen,original,206.6188,25.8101,0.000000,0.099808,7.4336,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/water_impact/videos/eval_water_impact_seen_seen_04.mp4
eval_water_impact_seen_seen_04,water_impact,seen_seen,negative_prompt,199.1305,37.7819,0.000961,0.124385,6.9299,13.9956,15.9688,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/water_impact/videos/eval_water_impact_seen_seen_04.mp4
eval_water_impact_seen_seen_04,water_impact,seen_seen,t2vunlearning_adapted,183.7552,54.3958,0.000020,0.194213,14.5712,33.2719,35.3071,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/water_impact/videos/eval_water_impact_seen_seen_04.mp4
eval_water_impact_seen_seen_04,water_impact,seen_seen,videoeraser_official,202.3080,40.9306,0.001311,0.188697,1.3607,23.5741,23.1933,false,outputs/protocol_v1/videoeraser_official/water_impact/videos/eval_water_impact_seen_seen_04.mp4
eval_water_impact_unseen_seen_00,water_impact,unseen_seen,original,167.0452,30.9637,0.000112,0.000002,9.6290,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/water_impact/videos/eval_water_impact_unseen_seen_00.mp4
eval_water_impact_unseen_seen_00,water_impact,unseen_seen,negative_prompt,157.6243,41.2994,0.000775,0.000041,9.6187,10.2137,18.8737,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/water_impact/videos/eval_water_impact_unseen_seen_00.mp4
eval_water_impact_unseen_seen_00,water_impact,unseen_seen,t2vunlearning_adapted,141.5201,41.6435,0.000018,0.011723,24.8071,36.6040,34.2119,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/water_impact/videos/eval_water_impact_unseen_seen_00.mp4
eval_water_impact_unseen_seen_00,water_impact,unseen_seen,videoeraser_official,153.8239,56.9397,0.010266,0.000488,6.3197,30.4943,39.6570,false,outputs/protocol_v1/videoeraser_official/water_impact/videos/eval_water_impact_unseen_seen_00.mp4
eval_water_impact_unseen_seen_01,water_impact,unseen_seen,original,209.8675,35.1166,0.000874,0.031194,6.0008,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/water_impact/videos/eval_water_impact_unseen_seen_01.mp4
eval_water_impact_unseen_seen_01,water_impact,unseen_seen,negative_prompt,204.8396,37.7927,0.000324,0.071504,6.8407,15.2353,18.6037,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/water_impact/videos/eval_water_impact_unseen_seen_01.mp4
